identifier,municipality,location,feature,owner,year_built_replaced,last_inspection,sd_fo_status,rating
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
eca,Covert (Town),.5MI NW JCT89&TOMPKINS CC,89  89 35021006 TRUMANSBURG CREEK,NYSDOT,1986,10/23/2015,N,5.16
eca,Covert (Town),5.4 MI S OF INTERLAKEN,ARDEN RD BOARDMAN CREEK,40 - Town,1973,09/12/2016,N,3.67
eca,Covert (Town),4.6 MI S OF INTERLAKEN,DAWSON CORNERS RD BOARDMAN CREEK,30 - County,2010,09/08/2016,N,7.00
eca,Covert (Town),7.9 MI SE OF INTERLAKEN,FRONTENAC ROAD TRUMANSBURG CREEK,40 - Town,1940,06/26/2017,SD,4.93
eca,Covert (Town),3.1 MI S OF INTERLAKEN,INTERLAKEN ROAD BOARDMAN CREEK,30 - County,1946,10/13/2016,SD,4.04
eca,Fayette (Town),JCT S.H.96A & BARGE CANAL,96A 96A35011265 CAYUGA-SENECA CNL,NYSDOT,1962,09/06/2017,N,5.88
eca,Fayette (Town),2 MI N JCT SH 336 & SH 96,ALLEN ROAD KENDIG CREEK,40 - Town,1940,09/13/2016,N,6.38
eca,Fayette (Town),2 MILES SW OF WATERLOO,COUNTY ROAD 119 KENDIG CREEK,30 - County,1950,10/08/2015,FO,4.60
eca,Fayette (Town),2.5 MI SW OF WATERLOO,MARSHALL RD KENDIG CREEK,30 - County,1950,09/27/2016,FO,4.59
eca,Fayette (Town),2.7 MI N JCT SH 96A & SH3,YELLOW TAVERN RD KENDIG CREEK,30 - County,1950,08/10/2016,N,5.16
eca,Junius (Town),0.8 MI W OF EXIT 41 TOLL,BIRDSEY RD CR 106 90IX,2L - NYS Thruway Authority,1999,09/04/2015,FO,6.08
eca,Junius (Town),4.5 MI W OF EXIT 41,GRANGE HALL RD 90IX,2L - NYS Thruway Authority,1998,09/01/2016,FO,6.86
eca,Junius (Town),3.6 MI E OF EXIT 42 TOLL,NINE FOOT RD CR 1 90IX,2L - NYS Thruway Authority,1999,09/18/2015,FO,6.08
eca,Junius (Town),2.0 MI W EXIT 41 I90,STONE CHURCH RD 90IX,2L - NYS Thruway Authority,1953,05/19/2016,FO,6.80
eca,Junius (Town),3.0 MI W EXIT 41 I90,WHISKEY HILL RD C 90IX,2L - NYS Thruway Authority,1953,05/30/2017,FO,5.27
eca,Lodi (Town),0.7 MI SW JCT RTS 96A&414,414 414 35041051 MILL CREEK,NYSDOT,1993,06/12/2017,N,6.57
eca,Lodi (Town),2.3 MI SOUTH OF LODI,DEAN ROAD MILL CREEK,40 - Town,1936,11/01/2016,SD,3.56
eca,Lodi (Town),1.0 MI S OF LODI,LODI CENTER RD MILL CREEK,30 - County,1936,07/27/2016,N,5.83
eca,Lodi (Town),3.2 MI W OF LODI,LOWER LAKE RD MILL CREEK,40 - Town,1962,09/21/2016,N,6.33
eca,Lodi (Town),1.4 MI WEST OF LODI,UPPER LAKE ROAD MILL CREEK,40 - Town,1936,12/06/2016,SD,3.28
eca,Lodi (Village),0.7 MI SW OF LODI,COUNTY ROAD 136A MILL CREEK,30 - County,1921,12/01/2016,N,3.57
eca,Ovid (Town),2.5MI NW JCT RTS 96 + 96A,96  96 35031086 SHELDRAKE CREEK,NYSDOT,1942,07/13/2016,N,5.57
eca,Ovid (Town),7.2 MI EAST OF OVID,COUNTY ROAD 153 SHELDRAKE CREEK,30 - County,1994,07/13/2016,N,4.14
eca,Ovid (Town),2.1 MI NW OF LODI,GILBERT ROAD TOMMY CREEK,30 - County,1993,08/28/2017,SD,4.35
