"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Allegany County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
gany,Alfred (Town),1.1 MI S JCT SR21 & SR244,21  21 61011075 EAST VALLEY CREEK,NYSDOT,2004,10/04/2016,N,6.42
gany,Alfred (Town),0.1 MI S JCT RTS 21 & 244,21  21 61011088 CANACADEA CREEK,NYSDOT,1986,04/10/2017,N,5.73
gany,Alfred (Town),3.0 MI N JCT 417 & 21,2121 61011030 RAILROAD BROOK,NYSDOT,1986,07/12/2017,N,4.00
gany,Alfred (Town),AT JCT RTS 21 + 244,961GX CANACADEA CREEK,NYSDOT,1936,05/24/2016,SD,4.05
gany,Alfred (Town),4.2 MI SW OF ALFRED,CR12 ELM VAL RD TRIB ELM VALLEY C,30 - County,1973,08/23/2016,N,6.58
gany,Alfred (Town),1.1 MI S ALFRED STATION,EAST VALLEY ROAD EAST VALLEY CREEK,40 - Town,1970,03/31/2016,N,6.47
gany,Alfred (Town),1.7 MI E OF ALFRED,EAST VALLEY ROAD EAST VALLEY CREEK,40 - Town,1970,08/17/2017,SD,5.34
gany,Alfred (Town),3.1 MI NE OF ANDOVER,EAST VALLEY ROAD EAST VALLEY CREEK,40 - Town,1970,08/10/2016,N,6.16
gany,Alfred (Town),2.6 MI N.W. OF ALFRED,MC HENRY ROAD MC HENRY CREEK,30 - County,1980,08/23/2017,N,6.87
gany,Alfred (Town),1.0 MI S ALFRED STATION,PLEASANT VALLEY R PLEASANT VALLEY C,40 - Town,1984,03/31/2016,N,4.84
gany,Alfred (Village),IN ALFRED,960B960B61011008 TRB CANACADEA CRK,NYSDOT,1976,04/01/2016,FO,5.61
gany,Alfred (Village),IN ALFRED,ELM STREET TRB CANACADEA CRK,41 - Village,1976,04/04/2017,SD,6.17
gany,Alfred (Village),IN ALFRED,PINE STREET CANACADEA CREEK,40 - Town,1961,06/08/2017,SD,4.63
gany,Alfred (Village),IN ALFRED,W UNIVERSITY AVE TRIB CANACADEA CR,41 - Village,1944,06/14/2016,N,4.35
gany,Allen (Town),2.4 MI SW OF SHORT TRACK,BOTTSFORD HLLW RD TRIB RUSH CREEK,40 - Town,2007,03/22/2017,N,3.00
gany,Allen (Town),2.6 MI N OF ANGELICA,COUNTY ROAD 15 BAKER CREEK,30 - County,1963,07/17/2017,N,6.88
gany,Allen (Town),1.0 MI S OF SHORT TRACT,COUNTY ROAD 15 TRIB RUSH CREEK,30 - County,1962,11/10/2016,N,4.74
gany,Allen (Town),2.2 M SE OF SHORT TRACT,MIDDLE ROAD TRIB RUSH CREEK,40 - Town,2001,09/01/2017,N,6.12
gany,Allen (Town),4.3 MI NE OF ANGELICA,OLD STATE ROAD BAKER CREEK,40 - Town,1997,08/29/2017,N,6.28
gany,Allen (Town),3.5 MI N OF ANGELICA,OLD STATE ROAD LINK CREEK,40 - Town,1933,08/24/2016,N,4.28
