"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Broome County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ome,Barker (Town),JCT RTS 26 + I-81,26  26 91011274 81I 81I91013157,NYSDOT,1965,04/19/2016,FO,5.61
ome,Barker (Town),4.1 MI NW JCT SH12 & SH79,7979 91031080 HALFWAY BROOK,NYSDOT,2004,06/20/2016,N,6.40
ome,Barker (Town),3.3 MI SE JCT 79 & 206,7979 91031097 BULL CREEK,NYSDOT,2007,04/12/2017,N,6.53
ome,Barker (Town),0.2 MI N OF EXIT 7 I-81,81I 81I91013085 CASTLE CREEK,NYSDOT,1969,04/24/2017,N,4.44
ome,Barker (Town),0.2 MI N OF EXIT 7 I-81,81I 81I91013085 CASTLE CREEK,NYSDOT,1969,04/24/2017,N,4.44
ome,Barker (Town),1.2 MI W OF EXIT 7 I-81,81I 81I91013095 CASTLE CREEK,NYSDOT,1967,04/26/2017,N,6.00
ome,Barker (Town),1.0MI S JCT RTS I-81 + 26,81I 81I9101314 PEASE HILL ROAD,NYSDOT,1969,07/01/2016,N,4.72
ome,Barker (Town),1.0MI S JCT RTS I-81 + 26,81I 81I91013147 PEASE HILL ROAD,NYSDOT,1969,07/01/2016,N,4.74
ome,Barker (Town),HAMLET OF ITASKA,BARKER HILL ROAD TIOUGHNIOGA RIVER,40 - Town,1998,09/20/2016,SD,4.94
ome,Barker (Town),1.1 MI SE OF ITASKA,CLOVERDALE ROAD HALFWAY BROOK,30 - County,1982,06/07/2016,N,5.64
ome,Barker (Town),2.5 MILES FROM RT12,CLOVERDALE ROAD OCKERMAN BROOK,30 - County,1987,06/22/2016,N,7.00
ome,Barker (Town),7.0 MI.SE WHITNEY POINT,CR133 SOUTH ST HALFWAY BROOK,30 - County,1953,12/07/2015,N,6.85
ome,Barker (Town),2 MI NE OF UNION CENTER,HYDE STREET CASTLE CREEK,30 - County,1955,06/22/2016,N,5.64
ome,Barker (Town),2.5 MI N EXIT 7 OF I81,JOYNER ROAD 81I 81I91013122,NYSDOT,1969,06/21/2017,FO,5.81
ome,Barker (Town),2.5 MI N EXIT 7 OF I81,JOYNER ROAD 81I 81I91013122,NYSDOT,1969,06/07/2017,FO,5.39
ome,Binghamton (City),0.3 MI N JCT RTS 7 & I-81,77 91012031 BEVIER STREET,NYSDOT,1994,03/10/2016,N,6.46
ome,Binghamton (City),0.3 MI N JCT RTS 7 & I-81,77 91012031 BEVIER STREET,NYSDOT,1994,03/10/2016,N,6.39
ome,Binghamton (City),JCT I81 & SH 7,77 91051E01 RELIEF,NYSDOT,1965,10/15/2015,N,4.94
ome,Binghamton (City),2.1 MI E JCT SH 434 & SH7,7 X DELAWARE & HUDSON,42 - City,1993,06/28/2017,N,5.68
"",,,RAILROAD MP# 615.26,,,,,
ome,Binghamton (City),JCT SH 7 & SUSQUEHANNA RV,7 X SUSQUEHANNA RIVER,NYSDOT,1963,07/07/2015,FO,5.28
ome,Binghamton (City),CITY OF BINGHAMTON,11X COURT STREET CHENANGO RIVER,42 - City,1970,08/08/2017,FO,5.22
ome,Binghamton (City),JCT I81 & CHENANGO RIVER,17  17 91012016 11  11 91012045,NYSDOT,2014,09/29/2016,N,6.88
ome,Binghamton (City),JCT I81 & CHENANGO RIVER,17  17 91012025 81IX,NYSDOT,2014,11/22/2016,FO,6.86
ome,Binghamton (City),JCT I81 & SH 7,81I 81I91012017 77 91012028,NYSDOT,1965,11/30/2016,N,4.43
ome,Binghamton (City),JCT I81 & SH 7,81I 81I91012017 77 91012028,NYSDOT,1965,11/30/2016,N,4.31
ome,Binghamton (City),In Binghamton,17  1791072004 Prospect Conn,NYSDOT,2014,09/27/2016,N,7.00
ome,Binghamton (City),In Binghamton,17  1791072009 Mygatt St,NYSDOT,2014,09/27/2016,N,7.00
ome,Binghamton (City),0.2 MI E JCT RTS 363+434,363 363 91011001 EXCHANGE STREET,NYSDOT,1963,09/18/2015,FO,5.14
ome,Binghamton (City),.4 MI E JCT SH 363 & SH 4,363 363 91011003 363 363 91011003,NYSDOT,1965,07/27/2016,FO,5.39
ome,Binghamton (City),JCT RTS 363 + 11,363 363 91011008 11  11 91012023,NYSDOT,1965,10/27/2016,N,4.56
ome,Binghamton (City),0.3 MI S JCT RTS 363 + 7,363 363 91011011 ROBINSON STREET,NYSDOT,1963,05/21/2015,SD,4.88
ome,Binghamton (City),0.3 MI S JCT RTS 363 + 7,363 363 91011013 ROUTE 7 RAMP,NYSDOT,1965,05/18/2017,FO,6.18
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Broome County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ome,Binghamton (City),JCT RTE 434 & SUSQUEHANNA,434 434 91012022 363 RIVERSIDE DR,NYSDOT,1956,09/03/2015,FO,4.58
ome,Binghamton (City),JCT RTE 434 & SUSQUEHANNA,434 434 91012022 363 RIVERSIDE DR,NYSDOT,1956,09/03/2015,FO,4.54
ome,Binghamton (City),1 MI W OF E BING CITY LNE,77 91012012 PIERCE CREEK,42 - City,1976,05/03/2017,N,5.46
ome,Binghamton (City),.3 mi E Jct Rt 7,81I  81I91012024 Chenango St,NYSDOT,2014,06/06/2017,N,7.00
ome,Binghamton (City),CITY OF BINGHAMTON,BELDEN STREET PIERCE CREEK,42 - City,1972,04/07/2016,N,3.92
ome,Binghamton (City),CITY OF BINGHAMTON,BEVIER STREET CHENANGO RIVER,30 - County,1964,08/25/2016,N,6.65
ome,Binghamton (City),0.4 MI E EXIT 3 RTE I-81,BIGELOW STREET 81I 81I91012013,NYSDOT,1965,08/18/2016,FO,5.02
ome,Binghamton (City),CITY OF BINGHAMTON,BROOK AVENUE PARK CREEK,42 - City,1974,06/21/2016,N,5.60
ome,Binghamton (City),CITY OF BINGHAMTON,CHENANGO ST NORFOLK SOUTHERN MP,42 - City,1974,10/31/2016,FO,5.12
"",,,214.01,,,,,
ome,Binghamton (City),CROSS STREET,CROSS STREET PARK CREEK,42 - City,1986,06/01/2016,N,7.00
ome,Binghamton (City),CITY OF BINGHAMTON,E.CLINTON STREET CHENANGO RIVER,42 - City,1936,09/07/2016,FO,4.10
ome,Binghamton (City),CITY OF BINGHAMTON,EXCHANGE STREET SUSQUEHANNA RIVER,42 - City,1901,12/13/2016,N,5.50
ome,Binghamton (City),.6 MI E EXIT 3 OF I81,FAIRVIEW AVE. 81I 81I91012010,NYSDOT,1965,08/18/2016,FO,4.80
ome,Binghamton (City),CITY OF BINGHAMTON,HOTCHKISS STREET PARK CREEK,42 - City,1991,06/05/2017,FO,6.84
ome,Binghamton (City),CITY OF BINGHAMTON,MORRIS STREET PARK CREEK,42 - City,1985,06/01/2016,N,7.00
ome,Binghamton (City),0.4 MI SW JCT RTS 434+363,PENNSYLVANIA AVE 434 434 91012018,NYSDOT,1954,09/14/2015,FO,4.43
ome,Binghamton (City),CITY OF BINGHAMTON,RIVERSIDE DR. CHENANGO RIVER,42 - City,1923,07/19/2016,FO,6.38
ome,Binghamton (City),In Binghamton,Rt 17 Mygatt St.,NYSDOT,2012,09/27/2016,N,7.00
ome,Binghamton (City),In Binghamton,Rt 17 Prospect Connecto,NYSDOT,2012,09/27/2016,N,7.00
ome,Binghamton (City),1.3 MI E EXIT 3 OF I81,WINDY HILL ROAD 81I 81I91012004,NYSDOT,1965,08/18/2016,FO,4.55
ome,Binghamton (Town),JCT I81 & CHENANGO RIVER,81I 81I91012025 11  11 91012045,NYSDOT,2014,08/03/2017,FO,6.84
ome,Binghamton (Town),JCT I81 & CHENANGO RIVER,81I 81I91012025 11  11 91012045,NYSDOT,2014,08/10/2017,FO,7.00
ome,Binghamton (Town),4 MI W OF CORBETTSVILLE,CLINE ROAD LITTL SNAKE CREEK,40 - Town,1989,05/10/2016,N,5.00
ome,Binghamton (Town),2 MILES S OF BINGHAMTON,CO RD 141 PIERCE CREEK,30 - County,1998,08/09/2017,N,6.00
ome,Binghamton (Town),3.0 MI S OF BINGHAMTON,HANCE ROAD TR W FK LTTL SNAK,40 - Town,1966,10/26/2015,N,5.71
ome,Binghamton (Town),1 MI S OF BINGHAMTON,HAND ROAD PIERCE CREEK,30 - County,2007,03/21/2017,N,7.00
ome,Binghamton (Town),5 MI SOUTH OF BINGHAMTON,HAWLEYTON ROAD TR W FK LTTL SNAK,30 - County,1983,06/21/2016,N,5.00
