"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Chemung County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
mung,Ashland (Town),.9 MI SE JCT SR379 &SR427,427 427 62011092 SEELEY CREEK,NYSDOT,1987,09/15/2015,N,5.44
mung,Ashland (Town),5 MILES SOUTH OF ELMIRA,BENTLEY ROAD SOUTH CREEK,30 - County,2015,12/02/2015,N,7.00
mung,Ashland (Town),5.5 MI SE JCT SR17 & SR35,COUNTY ROAD 8 86I 17 62051139,NYSDOT,2000,11/02/2016,N,6.66
mung,Ashland (Town),0.1 MI NE OF WELLSBURG,CR08 LOWMAN CROSS CHEMUNG RIVER,30 - County,1988,05/18/2017,SD,6.17
mung,Ashland (Town),IN LOWMAN,CR60 OLD LOWMAN R BALDWIN CREEK,30 - County,1934,05/23/2016,N,5.43
mung,Baldwin (Town),1.2 MI NE OF N CHEMUNG,CR 41 FEDERAL RD TRB BALDWIN CREEK,30 - County,1985,06/28/2017,N,2.00
mung,Baldwin (Town),5.9 MILES EAST OF ELMIRA,CR01 BREESPORT RO BALDWIN CREEK,30 - County,2007,09/13/2017,N,6.19
mung,Baldwin (Town),5 MILES EAST OF ELMIRA,CR01 BREESPORT RO ELSTON HOLLOW CRK,30 - County,1934,04/20/2016,N,5.17
mung,Baldwin (Town),6.8 MILES EAST OF ELMIRA,CR01 BREESPORT RO TRB BALDWIN CREEK,30 - County,1940,04/20/2016,N,5.97
mung,Baldwin (Town),0.4 MI NE OF N CHEMUNG,CR41 FEDERAL RD TRIB BALDWIN CRK,30 - County,1992,06/06/2017,N,6.03
mung,Baldwin (Town),5.4 MI NW OF LOCKWOOD,JOE GREEN ROAD WYNCOOP CREEK,30 - County,1934,10/12/2016,N,6.13
mung,Baldwin (Town),6.5 MILES N OF CHEMUNG,MCDOWELL ROAD WYNCOOP CREEK,30 - County,1996,06/22/2016,FO,6.69
mung,Big Flats (Town),1.7 MI W EXIT 51 OF I86,86I  17 62051031 CR 63 - KAHLER RD,NYSDOT,2003,06/06/2017,N,6.21
mung,Big Flats (Town),1.7 MI W EXIT 51 OF I86,86I  17 62051031 CR 63 - KAHLER RD,NYSDOT,2003,06/06/2017,N,6.40
mung,Big Flats (Town),0.1 MI SW ON ELMIRA+CATON,225 225 62011003 CHEMUNG RIVER,NYSDOT,1975,09/07/2016,N,6.72
mung,Big Flats (Town),2.5MI E. JCT RTS 352 & 17,352 352 62021015 GARDINER CREEK,NYSDOT,1992,05/05/2016,N,5.78
