"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Chenango County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
nango,Afton (Town),2.0 MI S JCT RTS 41 + 7,41  41 92021011 CORNELL CREEK,NYSDOT,1934,06/12/2017,SD,4.38
nango,Afton (Town),JCT RTS I-88 + 41,88I 88I92021017 41  41 92021002,NYSDOT,1974,11/03/2015,N,6.05
nango,Afton (Town),JCT RTS I-88 + 41,88I 88I92021018 41  41 92021001,NYSDOT,1974,11/03/2015,N,6.00
nango,Afton (Town),.3 MI E JCT I88 & SH 41,88I 88I92021025 TRB CORNELL CREEK,NYSDOT,1974,09/06/2016,N,4.00
nango,Afton (Town),13 MI E JCT RTS I-88 + 41,88I 88I92021031 IVES HILL ROAD,NYSDOT,1974,09/22/2015,N,5.27
nango,Afton (Town),13 MI E JCT RTS I-88 + 41,88I 88I92021031 IVES HILL ROAD,NYSDOT,1974,09/22/2015,N,5.25
nango,Afton (Town),42 MI SW JCT RTS I-88+206,88I 88I92021058 MELONDY HILL RD,NYSDOT,1974,04/15/2016,N,5.56
nango,Afton (Town),42 MI SW JCT RTS I-88+206,88I 88I92021058 MELONDY HILL RD,NYSDOT,1974,04/15/2016,N,5.40
nango,Afton (Town),23 MI S JCT RTS I-88+206,88I 88I92021077 CORBIN ROAD,NYSDOT,1974,09/22/2015,N,5.27
nango,Afton (Town),23 MI S JCT RTS I-88+206,88I 88I92021077 CORBIN ROAD,NYSDOT,1974,09/22/2015,SD,4.55
nango,Afton (Town),13 MI N OF S CHENANGO CL,235 235 92021013 TRIB WYLIE BROOK,NYSDOT,1932,09/22/2016,SD,4.04
nango,Afton (Town),JCT RTE I-88 + AFTON CONN,991M 991M92011000 88I 88I92021044,NYSDOT,1974,09/12/2016,N,6.12
nango,Afton (Town),.1 MI NORTH OF AFTON,ALGERINE ROAD KELSEY CREEK,30 - County,1984,10/14/2015,N,6.24
nango,Afton (Town),1/4 mi. north of NY 206,COUNTY ROAD 17 TRIB.KELSEY CREEK,30 - County,2012,11/02/2016,N,7.00
nango,Afton (Town),COUNTY ROAD 17,COUNTY ROAD 17 WILKINS BROOK,30 - County,2013,11/16/2015,N,7.00
nango,Afton (Town),1.5 MI E OF AFTON,MELONDY HILL ROAD LANDERS CREEK,30 - County,1974,08/17/2016,N,5.00
nango,Afton (Village),.2 MI NE JCT SH 7 & SH 41,77 92021055 KELSEY BROOK,NYSDOT,1922,09/26/2016,SD,3.77
nango,Afton (Village),JCT RTE 41+SUSQUEHANNA R,41  41 92021029 SUSQUEHANNA RIVER,NYSDOT,1948,09/15/2016,FO,6.21
nango,Afton (Village),0.2 MI N JCT RTS 41 + 7,41  41 92021033 BUMPS CREEK,NYSDOT,1933,07/20/2016,N,4.88
nango,Bainbridge (Town),0.4 MI SW JCT RTS 7 & 206,77 92021105 NORFOLK SOUTHERN MP,NYSDOT,1962,09/15/2016,N,5.73
"",,,581.19,,,,,
nango,Bainbridge (Town),1 MI NE JCT SH 7 & SH 206,77 92021121 YALEVILLE BROOK,NYSDOT,1910,10/31/2016,N,4.74
nango,Bainbridge (Town),2.7 MI NE JCT SH7 & SH206,77 92021137 D&H RR MP 577.70,NYSDOT,1936,07/12/2017,N,4.86
nango,Bainbridge (Town),2 MI S JCT I88 & SH 206,88I 88I92021081 BIG BROOK,NYSDOT,1974,03/10/2016,N,6.00
nango,Bainbridge (Town),2 MI S JCT I88 + SH 206,88I 88I92021081 BIG BROOK,NYSDOT,1974,03/10/2016,N,4.33
