"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Clinton County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ton,Altona (Town),2.3MI SE ELLENBURG DEPOT,190 190 71021126 GRAVES BROOK,NYSDOT,1940,05/26/2016,N,6.26
ton,Altona (Town),2.2 MI NE ALDER BEND,190 190 71021165 GREAT CHAZY RIVER,NYSDOT,1948,05/26/2016,N,5.85
ton,Altona (Town),2.1MI SW ALTONA,190 190 71021173 STILLWATER BROOK,NYSDOT,1948,08/29/2016,N,6.67
ton,Altona (Town),.3 MI E OF ELLENBRG DEPOT,CON ROAD NBR GREAT CHAZY R,30 - County,1955,09/21/2016,N,5.52
ton,Altona (Town),.5 MILE EAST OF ALTONA,COUNTY ROAD 23 GREAT CHAZY RIVER,30 - County,2005,08/08/2017,N,6.79
ton,Altona (Town),.6MI S HAMLET ALTONA,CR16DEVILS DEN RD GREAT CHAZY RIVER,30 - County,1965,06/08/2016,N,6.78
ton,Altona (Town),.4MI NE ALDER BEND,LASH ROAD GREAT CHAZY RIVER,30 - County,1949,08/22/2017,SD,5.42
ton,Altona (Town),1.1 MI NE OF ALDER BEND,RABIDEAU ROAD GREAT CHAZY RIVER,30 - County,1997,04/26/2017,N,7.00
ton,Altona (Town),1.8MI NE ALDER BEND,RABIDEAU ROAD GREAT CHAZY RIVER,30 - County,2006,04/26/2017,N,6.75
ton,Altona (Town),.5MI SE ALDER BEND,TERRIEN ROAD GREAT CHAZY RIVER,30 - County,1978,05/26/2016,SD,4.80
ton,Au Sable (Town),2MI NE OF KEESEVILLE,99 71141014 AUSABLE RIVER,NYSDOT,1934,07/21/2017,N,6.25
ton,Au Sable (Town),1.4 MI N JCT I87 & 9N,22  22 71101013 87I 87I71051019,NYSDOT,1995,06/08/2017,N,6.82
ton,Au Sable (Town),JCT SH 9N & I87 NB,87I 87I71051004 9N  9N71041103,NYSDOT,1996,05/18/2016,N,6.86
ton,Au Sable (Town),JCT SH 9N & I87 SB,87I 87I71051004 9N  9N71041103,NYSDOT,1996,05/18/2016,N,6.69
ton,Au Sable (Town),5 MI S JCT SH 422 & I87,87I 87I71051011 HALLOCK HILL RD,NYSDOT,1998,05/18/2016,N,6.66
ton,Au Sable (Town),5 MI S JCT I87 & SH 442,87I 87I71051011 HALLOCK HILL RD CR41,NYSDOT,1998,05/18/2016,FO,6.66
ton,Au Sable (Town),0.2 MI N FERRONA,CLINTONVILLE ROAD LITTLE AUSABLE RV,30 - County,1999,05/09/2017,N,6.00
ton,Au Sable (Town),2.7 MI S JCT RTS I-87+442,COUNTY ROAD 38 87I 87I71051036,NYSDOT,2011,05/16/2017,FO,6.66
ton,Au Sable (Town),2.6 MI S JCT I87NB & SH 4,CR 38 87I 87I71051036,NYSDOT,2011,05/16/2017,FO,6.89
ton,Au Sable (Town),.2 MI W HARKNESS,CR 40 CALKINS RD Lit Ausable River,30 - County,2005,08/03/2016,N,7.00
ton,Beekmantown (Town),0.8 MI SW BEEKMANTOWN,HAYES BROOK ROAD RAY BROOK,30 - County,1987,06/02/2016,N,7.00
ton,Beekmantown (Town),1.8MI E INGRAHAM,LAKE SHORE ROAD RILEY BROOK,30 - County,1935,08/15/2016,N,5.58
ton,Beekmantown (Town),IN BEEKMANTOWN CORNERS,ONEIL ROAD RAY BROOK,30 - County,2001,07/20/2017,N,6.18
ton,Beekmantown (Town),3.7 MI N JCT I87 & SH 314,SPELLMAN ROAD 87I 87I71051217,NYSDOT,1960,05/16/2016,FO,5.10
ton,Beekmantown (Town),.5 MI E SH 22/OLD RT 456,SPELLMAN ROAD RAY BROOK,30 - County,1993,04/27/2016,N,7.00
ton,Black Brook (Town),.3MI N RIVERVIEW,COLD BROOK ROAD COLD BROOK,30 - County,1973,08/14/2017,SD,4.68
ton,Black Brook (Town),COLD BROOK RD .2 M N RTE3,COLD BROOK ROAD NBR SARANAC RIVER,30 - County,2003,05/02/2017,N,7.00
ton,Black Brook (Town),1.3 MI N BLACK BROOK,GUIDE BOARD ROAD BIG BLACK BROOK,30 - County,1999,05/09/2017,N,6.71
ton,Black Brook (Town),4.2 MI NW JCT RTE 9N,SILVER LAKE ROAD BIG BLACK BROOK,30 - County,1997,05/09/2017,N,7.00
ton,Black Brook (Town),1.8 MI N OF HAWKEYE,SILVER LAKE ROAD SARANAC RIVER,30 - County,2010,08/31/2016,N,6.89
ton,Black Brook (Town),2.8 MI W OF HAWKEYE,UNION FALLS RD SARANAC RIVER,30 - County,1937,06/02/2016,FO,5.95
ton,Champlain (Town),1.2 MI S JCT RTS 9 + 9B,99 71143141 CORBEAU CREEK,NYSDOT,1927,04/17/2017,N,6.04
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Clinton County,,,,,
