"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Columbia County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
umbia,Ancram (Town),ANCRAM,82  82 81021065 ROELIFF JANSEN KILL,NYSDOT,1997,12/08/2015,N,5.62
umbia,Ancram (Town),2.7 MI SE OF WEST COPAKE,COUNTY ROAD 3 PUNCH BROOK,30 - County,1931,10/24/2016,SD,4.38
umbia,Ancram (Town),IN ANCRAMDALE,COUNTY ROAD 8A PUNCH BROOK,30 - County,1947,11/02/2016,N,3.67
umbia,Ancram (Town),6 MI NE JCT CR 2 + 987G,HALL HILL ROAD ROELIFF JANSEN KI,30 - County,2010,12/14/2016,N,7.00
umbia,Ancram (Town),2.6 MI S OF WEST COPAKE,WILTSIE BRIDGE RD ROELIFF JANSEN KL,30 - County,1927,09/29/2015,FO,4.51
umbia,Ancram (Town),2.1 MI SE OF WEST COPAKE,WILTSIE BRIDGE RD ROELIFF JANSEN KL,30 - County,1997,05/07/2015,N,5.61
umbia,Austerlitz (Town),.4 MI S JCT RTS 22 & 203,22  22 81061234 GREEN RIVER,NYSDOT,1937,04/30/2015,N,4.81
umbia,Austerlitz (Town),2.2 MI E JCT RTE203+TSP,203 203 81011045 PUNSIT CREEK,NYSDOT,1929,05/08/2017,N,4.38
umbia,Austerlitz (Town),1.8 MI E JCT RTE203+TSP,203 203 81011049 PUNSIT CREEK,NYSDOT,1929,10/26/2015,SD,4.57
umbia,Austerlitz (Town),0.1 MI E JCT RTE203+TSP,203 203 81011066 INDIAN CREEK,NYSDOT,1960,11/04/2015,FO,5.06
umbia,Austerlitz (Town),JCT RTE203+TSP,203 203 81011067 987G 987G81041268,NYSDOT,1960,07/06/2017,FO,3.65
