"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Cortland County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
tland,Cincinnatus (Town),1.3 MI N JCT RTS 26 + 221,26  26 32021064 PLACE BROOK,NYSDOT,1964,08/16/2017,N,7.00
tland,Cincinnatus (Town),3.0 MI N JCT RTS 41 + 221,26  26 32021080 GEE BROOK,NYSDOT,1967,04/22/2016,N,6.67
tland,Cincinnatus (Town),1.8 MI NE JCT SH26/SH221,26  26 32021104 MEAD BROOK,NYSDOT,2002,08/23/2016,N,6.67
tland,Cincinnatus (Town),1.4 MI NE JCT SH 26 & 41,2323 32011001 OTSELIC RIVER,NYSDOT,1981,07/15/2016,N,6.06
tland,Cincinnatus (Town),0.8 MI S OF CINCINNATUS,COUNTY ROAD 166 BRACKEL CREEK,30 - County,1934,12/01/2015,N,4.33
tland,Cincinnatus (Town),2.5 MI SW OF CINCINNATUS,DUTCH HILL ROAD GEE BROOK,30 - County,1994,07/12/2016,FO,7.00
tland,Cincinnatus (Town),3.2 MI NW OF WILLET,LAKE ROAD PLACE BROOK,40 - Town,1936,05/31/2017,SD,4.25
tland,Cincinnatus (Town),.2 MI W INT NY 41 & CR 51,PIETY HILL ROAD MEAD BROOK,40 - Town,1997,12/01/2015,N,5.67
tland,Cincinnatus (Town),AT CINCINNATUS,TELEPHONE RD EXT. OTSELIC RIVER,30 - County,1953,09/11/2017,N,6.31
tland,Cortland (City),0.6 MI N JCT RTS 11 & 222,11  11 32022020 DRY CREEK,42 - City,1991,05/17/2017,N,5.18
tland,Cortland (City),.1 MI S JCT RTS 13 + I-81,13  13 32042022 TIOUGHNIOGA RIVER,NYSDOT,2008,08/24/2016,N,6.23
tland,Cortland (City),.3 MI E JCT I81 & SH 13,81I 81I32022002 EX-LEHIGH VLLY RR,NYSDOT,1966,04/17/2017,N,4.07
tland,Cortland (City),.3 MI E JCT I81 & SH 13,81I 81I32022002 EX-LEHIGH VLLY RR,NYSDOT,1966,05/03/2017,SD,4.04
tland,Cortland (City),JCT OF RTS 13 + I-81 SB,81I 81I32022004 13  13 32042024,NYSDOT,1966,04/11/2017,FO,4.49
tland,Cortland (City),JCT OF RTS 13 + I-81 NB,81I 81I32022004 13  13 32042024,NYSDOT,1966,04/11/2017,FO,5.14
tland,Cortland (City),0.4 MI W JCT RTS 222 + 11,222 222 32022006 OTTER CREEK,42 - City,1983,11/23/2015,N,4.43
tland,Cortland (City),CITY OF CORTLAND,FLORAL AVE DRY CREEK,42 - City,1935,05/11/2016,N,6.61
tland,Cortland (City),1 MI W RTE 11,HAMLIN STREET DRY CREEK,42 - City,1999,05/30/2017,N,6.00
tland,Cortland (City),CITY OF CORTLAND,HOMER AVE DRY CREEK,42 - City,1980,05/30/2017,N,5.33
tland,Cortland (City),CITY OF CORTLAND,MADISON STREET OTTER CREEK,42 - City,1954,05/23/2017,N,4.88
tland,Cortland (City),CITY OF CORTLAND,MADISON STREET DRY CREEK,42 - City,1985,05/08/2017,FO,3.97
tland,Cortland (City),CITY OF CORTLAND,RICKARD STREET W B TIOUGHNIOGA R,42 - City,1962,05/16/2017,N,5.22
tland,Cortlandville (Town),4.1 Mi N Jct Rt 11 & 90,11  11 32021106 Hoxie Gorge Creek,NYSDOT,2004,04/26/2016,N,7.00
tland,Cortlandville (Town),0.5 MI S JCT RTS 11 + 41,11  11 32021139 TROUT BROOK,NYSDOT,1956,08/31/2017,N,6.00
tland,Cortlandville (Town),JCT RTE 11+TIOUGHNIOGA R,11  11 32021157 TIOUGHNIOGA RIVER,NYSDOT,1933,10/20/2016,FO,4.58
