"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Erie County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
"",Akron (Village),2.1 MI N JCT RTS 5 + 93,93  93 53021046 MURDER CREEK,NYSDOT,1932,06/29/2016,N,6.75
"",Akron (Village),0.2 MI S JCT RTS 93 + 267,93  93 53021056 MURDER CREEK,NYSDOT,1960,10/17/2016,SD,5.00
"",Akron (Village),IN AKRON FALLS COUNTY PRK,AKRON PK SERV RD MURDER CREEK,30 - County,2013,11/13/2015,N,7.00
"",Akron (Village),SE CORNER OF AKRON,AKRON-CRITTENDEN MURDER CREEK,30 - County,1958,06/20/2017,SD,5.21
"",Akron (Village),1.4 MI N JCT SH 5 & SH 93,BROOKLYN STREET MURDER CREEK,30 - County,1957,08/08/2016,SD,7.00
"",Akron (Village),IN AKRON FALLS PARK,PARKVIEW DRIVE MURDER CREEK,30 - County,1933,09/14/2016,N,6.67
"",Akron (Village),1.5 MI NE JCT 93'5,STATE STREET MURDER CREEK,41 - Village,1938,08/03/2017,SD,2.26
"",Alden (Town),7.4 MI E JCT SH 33 & SH78,33  33 53012128 ELLICOTT CREEK,NYSDOT,1960,08/23/2016,N,3.00
"",Alden (Town),4.6 MI WSW JCT RTE 33& CL,952Q952Q53011129 ELLICOTT CREEK,NYSDOT,1991,09/26/2017,N,6.66
"",Alden (Town),.2 MI S JCT SH 33 & CR 1,ALDEN CRTTNDEN RD CSX TRANS/ AMTRAK,30 - County,1990,08/24/2016,N,6.81
"",Alden (Town),1 MILE NORTH OF ALDEN,ALDEN-CRITTENDEN ELLICOTT CREEK,30 - County,1964,07/26/2016,N,5.00
"",Alden (Town),.9 MI SE OF MILL GROVE,FARM ROAD ELLICOTT CREEK,20 - State - Other,1991,08/22/2017,N,6.41
"",Alden (Town),1.1 MI SE JCT 20'358,FOUR ROD ROAD CAYUGA CREEK,30 - County,1954,08/31/2016,N,6.83
"",Alden (Town),3.5 MI WEST OF CRITTENDEN,NORTH MILLGROVE R TRIB ELLICOTT CRK,30 - County,1983,06/07/2016,N,5.96
"",Alden (Town),1 MILE NORTH OF ALDEN,NORTH ROAD ELLICOTT CREEK,30 - County,1995,06/03/2016,N,6.71
"",Alden (Town),1 MILE NORTH OF ALDEN,NORTH ROAD ELLICOTT CREEK,30 - County,1995,06/03/2016,N,6.71
"",Alden (Town),1.6 MILES NE OF ALDEN,NORTH ROAD/CR 166 ELLICOTT CREEK,30 - County,1981,06/07/2016,N,5.75
