"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Greene County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ene,Ashland (Town),RT 23 4.6 MI W OF WINDHAM,23  23 13061074 WEST HOLLOW BROOK,NYSDOT,1948,08/15/2016,N,5.18
ene,Ashland (Town),RT 23 2.5 MI W OF WINDHAM,2323 13061097 SUTTON HOLLOW CRK,NYSDOT,1948,08/15/2016,N,6.23
ene,Ashland (Town),2.3 MI NE ASHLAND,CASE ROAD TRIB BATAVIA KILL,30 - County,1961,04/13/2017,N,5.49
ene,Ashland (Town),1.5 MI.SE.HMLT.OF ASHLAND,JEWETT HEIGHTS RD BATAVIA KILL,30 - County,2015,11/24/2015,N,7.00
ene,Ashland (Town),2.3 MI NW WINDHAM,STEINMETZ ROAD BATAVIA KILL TRI,30 - County,1961,12/13/2016,SD,7.00
ene,Ashland (Town),0.1 MILES N OF ASHLAND,SUTTON HOLLOW RD WEST HOLLOW BROOK,30 - County,1998,09/23/2016,N,6.92
ene,Athens (Town),1.5 MI NE JCT RTS 23 <I87,87IX LEEDS ATHENS ROAD,2L - NYS Thruway Authority,1955,07/01/2015,FO,4.24
ene,Athens (Town),3.5 MI NW VILLAGE ATHENS,87IX SCHOHARIE TPKE,2L - NYS Thruway Authority,1955,06/30/2015,FO,5.00
ene,Athens (Town),1.5 MI E HMLT OF S CAIRO,SANDY PLAINS ROAD POTIC CREEK,30 - County,1969,07/19/2017,N,6.13
ene,Athens (Village),RT 385 0.6 MI N OF ATHENS,385 385 13011064 MURDERERS CREEK,NYSDOT,2005,08/10/2015,N,6.75
ene,Cairo (Town),1 MI.NW OF ACRA,23  23 13061227 BOWERY CREEK,NYSDOT,1962,07/24/2017,N,6.00
ene,Cairo (Town),.2 M SE JCT SH23/32&SH145,23  23 13061277 JEROME AVE - CR41,NYSDOT,1960,07/06/2017,N,5.12
ene,Cairo (Town),.2 M SE JCT SH23/32&SH145,23  23 13061277 JEROME AVE - CR41,NYSDOT,1960,07/06/2017,FO,5.23
ene,Cairo (Town),INT.RTE 32 & CATSKILL CK,32  32 13031113 CATSKILL CREEK,NYSDOT,1976,04/13/2017,N,5.41
ene,Cairo (Town),2 MI SW HAMLET OF ACRA,BALD HILLS ROAD TROUT BROOK,30 - County,1993,07/06/2017,N,6.29
ene,Cairo (Town),2.5 MI N HMLT CAIRO,CANNIFF ROAD JAN DE BAKKERS KL,30 - County,2011,03/21/2016,N,6.76
ene,Cairo (Town),2 MI SW JCT SH 23 & SH 32,COUNTY ROAD 39 TRB SHINGLE KILL,30 - County,2002,03/09/2017,N,5.96
ene,Cairo (Town),1.5 MI NE OF CAIRO,COUNTY ROAD 41 JAN DE BAKKERS KL,30 - County,1964,05/08/2017,N,5.67
ene,Cairo (Town),4 MI S JCT RTS 23 <32,HEARTS CONTENT RD KISKATOM BROOK,30 - County,1968,05/09/2016,FO,6.45
ene,Cairo (Town),CR31 NORTH OF SH 32,HEARTS CONTENT RD KISKATOM BROOK,30 - County,1999,05/12/2016,N,5.82
ene,Cairo (Town),3.5 MI SW HMLT CAIRO,HEARTS CONTENT RD TROUT BROOK,30 - County,1940,04/11/2017,FO,4.00
ene,Cairo (Town),0.4 MI S ROUNDTOP HAMLET,HRTS CONT ROAD SHINGLE KILL,30 - County,2000,05/12/2016,N,6.48
ene,Cairo (Town),HAMLET OF SOUTH CAIRO,IRA VAIL ROAD CATSKILL CREEK,30 - County,1998,08/25/2016,FO,6.37
ene,Cairo (Town),HAMLET OF CAIRO,JEROME AVE CR 41A SHINGLE KILL,30 - County,1991,07/06/2016,N,5.98
ene,Cairo (Town),1 MI N HAMLET CAIRO,LAKE MILLS ROAD CATSKILL CREEK,30 - County,1964,10/08/2015,N,6.14
ene,Cairo (Town),3 MI NW HAMLET OF CAIRO,LAKE MILLS ROAD JANDEBAKKERS KILL,30 - County,2003,03/31/2016,N,6.92
ene,Cairo (Town),HAMLET OF CAIRO,MAIN STREET SHINGLE KILL,30 - County,1927,03/13/2017,N,4.64
ene,Cairo (Town),4.0 MI SW HMLT CAIRO,POLLY'S ROCK ROAD KISKATOM BROOK,40 - Town,1965,05/23/2017,SD,3.65
ene,Cairo (Town),1 MI SW HAMLET CAIRO,PURLING ROAD CR24 SHINGLE KILL,30 - County,2002,06/23/2016,N,6.64
ene,Cairo (Town),.2 MI N OF ROUND TOP,ROUND TOP ROAD TROUT BROOK,30 - County,1990,05/12/2016,N,6.81
ene,Cairo (Town),SOUTH ROAD - TOWN RTE 109,SOUTH ROAD GLEN BROOK,30 - County,1927,03/30/2017,SD,3.31
ene,Cairo (Town),4 MI SW OF PURLING,WINTER CLOVE ROAD KISKATOM BROOK,30 - County,1996,05/11/2016,N,6.79
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Greene County,,,,,
"",,,,,Year,Date,,NYS
