"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Jefferson County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
erson,Adams (Town),4 MI S JCT I81 & SH 232,177 177 73011001 81I 81I73051143,NYSDOT,2015,12/10/2015,FO,6.67
erson,Adams (Town),2.3 MI S JCT RTS I81& 232,971P971P73063B03 81I 81I73051159,NYSDOT,1998,10/18/2016,FO,6.70
erson,Adams (Town),5.0 MI NW OF ADAMS CENTER,COUNTY ROAD 63 STONY CREEK,30 - County,2001,10/12/2016,N,7.00
erson,Adams (Town),1 MILE NORTH OF ADAMS,Co Rd 69 SANDY CREEK,30 - County,2010,09/29/2016,N,7.00
erson,Adams (Town),1 MI E OF ADAMS VILLAGE,LAWRENCE ROAD MIKEN BROOK,40 - Town,2004,09/07/2016,N,6.33
erson,Adams (Town),2 MILES WEST OF ADAMS,LIBERTY STREET SANDY CREEK,30 - County,2001,10/29/2015,N,6.27
erson,Adams (Town),2.0 MI N RTS I-81 + 178,MICHAEL ROAD 81I 81I73051123,NYSDOT,1959,09/21/2016,FO,6.69
erson,Adams (Town),2.0 MI N JCT I-81 + 178,MICHAEL ROAD 81I 81I73051125,NYSDOT,1959,09/22/2016,FO,6.57
erson,Adams (Town),4.5 MI W OF ADAMS CENTER,OVERTON ROAD STONY CREEK,30 - County,1938,09/19/2016,N,5.52
erson,Adams (Town),.2 MI SE EXIT 43 OF I81,RTE 971P CSX TRANSPRTATION,NYSDOT,1959,07/18/2016,N,4.97
erson,Adams (Town),3.0 MI NW OF ADAMS CENTER,SOUTH HARBOR ROAD STONY CREEK,30 - County,1987,09/20/2016,N,7.00
erson,Adams (Village),.2 MI S JCT RTS 11 & 178,11  11 73051102 SANDY CREEK,NYSDOT,1856,10/12/2016,N,5.23
erson,Adams (Village),.3 MI S JCT SH 178 & I81,81I 81I73051099 LIBERTY ST -CR 84,NYSDOT,1961,05/02/2016,FO,5.97
erson,Adams (Village),.3 MI S JCT SH 178 & I81,81I 81I73051099 LIBERTY ST -CR 84,NYSDOT,1961,05/02/2016,FO,5.28
erson,Adams (Village),0.1 MI S JCT 178 + I-81,81I 81I73051100 SANDY CREEK,NYSDOT,1961,04/26/2017,N,5.75
erson,Adams (Village),0.1 MI S JCT 178 + I-81,81I 81I73051100 SANDY CREEK,NYSDOT,1961,04/26/2017,N,5.91
erson,Adams (Village),JCT OF RTS 178 + I-81 NB,81I 81I73051101 178 178 73011098,NYSDOT,1959,05/09/2017,FO,5.68
erson,Adams (Village),JCT OF RTS 178 + I-81 SB,81I 81I73051102 178 178 73011097,NYSDOT,1959,05/09/2017,FO,5.33
erson,Adams (Village),0.1 MI E OF SR178 & I-81,I-81 NB ramps to NY178 BROWN BROOK,NYSDOT,1959,08/01/2017,N,5.00
erson,Adams (Village),0.2 MI.N.OF ADAMS,SOUTH PARK STREET SANDY CREEK,30 - County,1942,08/03/2016,FO,4.88
