"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Lewis County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
is,Constableville (Village),2.5 MI SW JCT RTS 26 +12D,26  26 74061089 SUGAR RIVER,NYSDOT,1962,08/01/2017,N,6.08
is,Constableville (Village),AT CONSTABLEVILLE,COUNTY ROAD 48 SUGAR RIVER,30 - County,2011,10/21/2015,N,7.00
is,Copenhagen (Village),0.2 MI SE JCT 12 & 194,1212 74051340 DEER RIVER,NYSDOT,2007,09/26/2017,N,6.76
is,Croghan (Town),2 MI NW JCT SH126 & SH410,126 126 74021046 SWISS CREEK,NYSDOT,1969,05/18/2017,N,2.00
is,Croghan (Town),0.5 MI W OF BEAVER FALLS,126 126 74021092 BEAVER RIVER,NYSDOT,1950,06/22/2017,N,5.40
is,Croghan (Town),.5 MILE NORTH OF CROGHAN,812  812 74011113 BEAVER RIVER,NYSDOT,2005,10/01/2015,N,6.50
is,Croghan (Town),AT INDIAN RIVER,812 812 74011166 INDIAN RIVER,NYSDOT,1950,10/26/2015,N,5.58
is,Croghan (Town),3.3 MI N BLD MT RD & LP R,BALD MOUNTAIN RD SHAW BROOK,2C - NYS Dept of,1940,09/12/2017,N,5.83
"",,,,Environmental Conservation,,,,
is,Croghan (Town),.2 MI N JCT BLD MT & LP R,BALD MOUNTAIN RD W B OSWEGATCHIE R,2C - NYS Dept of,1945,09/12/2017,SD,5.46
"",,,,Environmental Conservation,,,,
is,Croghan (Town),1.1 MI NE OF CROGHAN,BELFORT ROAD MURMUR CREEK,30 - County,1957,05/11/2017,N,5.22
is,Croghan (Town),AT BELFORT,BELFORT ROAD NI MO POWER CANAL,30 - County,2001,10/07/2015,N,6.90
is,Croghan (Town),IN BELFORT,COUNTY ROAD 10 BEAVER RIVER,30 - County,1960,09/10/2015,N,5.05
is,Croghan (Town),3.6 MI N OF NAUMBURG,COUNTY ROAD 8 SWISS CREEK,30 - County,1954,11/16/2016,N,5.87
is,Croghan (Town),FISH CREEK RD/FISH CREEK,FISH CREEK ROAD FISH CREEK,2C - NYS Dept of,2009,07/21/2016,N,7.00
"",,,,Environmental Conservation,,,,
is,Croghan (Town),4.4 MI NE OF INDIAN RIVER,JERDEN FALLS ROAD W B OSWEGATCHIE R,30 - County,1934,11/01/2016,FO,4.63
is,Croghan (Town),7.4 MILES NE OF BELFORT,LONG POND ROAD W B OSWEGATCHIE R,40 - Town,2006,11/01/2016,N,6.72
is,Croghan (Town),6.4 MILES NE OF BELFORT,LONG POND ROAD W B OSWEGATCHIE R,30 - County,1952,11/01/2016,SD,4.40
is,Croghan (Town),9.0 MI NE OF BELFORT,LONG POND ROAD LONG POND OUTLET,40 - Town,1983,10/07/2015,FO,5.58
is,Croghan (Town),8.0 MI NW OF CROGHAN,YOUNGS MILL ROAD SWISS CREEK,40 - Town,1987,06/12/2017,SD,5.51
is,Croghan (Village),IN VILLAGE OF CROGHAN,126 126 74021115 BLACK CREEK,NYSDOT,1936,04/25/2016,FO,4.54
is,Croghan (Village),0.5 MI N OF CROGHAN,BRIDGE STREET BEAVER RIVER,30 - County,1979,08/10/2015,N,5.25
is,Croghan (Village),IN CROGHAN,SOUTH BRIDGE ST BEAVER RIVER,40 - Town,1993,04/18/2017,FO,6.84
is,Denmark (Town),4.5 MI N JCT SH26 & SH410,26  26 74061371 DEER RIVER,NYSDOT,1932,08/02/2017,SD,4.75
is,Denmark (Town),JCT RTE 410 + BLACK R,410 410 74011031 BLACK RIVER,NYSDOT,1955,08/29/2017,SD,3.73
is,Denmark (Town),2.3 MI SW OF DEER RIVER,OLD STATE ROAD DEER RIVER,30 - County,1891,06/13/2017,SD,3.94
is,Denmark (Town),2.0 MI SO OF DEER RIVER,OLD STATE ROAD STONY BROOK,40 - Town,1969,04/19/2017,N,5.67
is,Denmark (Town),0.1 MI E OF CASTORLAND,RIDGE ROAD NEGRO CREEK,30 - County,1964,06/19/2017,N,5.65
is,Denmark (Town),2.3 MI NE OF COPENHAGEN,VORCE ROAD DEER RIVER,30 - County,1997,07/18/2017,N,6.61
is,Diana (Town),6.7 MI NE JCT SH3 & SH 3A,33 74031012 MOHAWK ADIR & NO,NYSDOT,1960,11/08/2016,FO,5.38
is,Diana (Town),6.1 MI SE OF HARRISVILLE,BRYANT BRIDGE RD FISH CREEK,30 - County,1961,07/06/2017,SD,3.88
is,Diana (Town),8 MILES SE OF HARRISVILLE,BRYANT BRIDGE RD MBR.OSWEGATCHIE R,30 - County,1985,06/14/2017,N,7.00
is,Diana (Town),2.3 MI S OF HARRISVILLE,FRENCH SETLMNT RD W B OSWEGATCHIE R,30 - County,1964,06/20/2017,FO,6.70
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Lewis County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
is,Diana (Town),4.8 MI SE OF HARRISVILLE,JERDEN FALLS ROAD MBR OSWEGATCHIE R,40 - Town,1974,06/07/2016,FO,6.87
is,Diana (Town),6 MI SOUTH OF HARRISVILLE,KIMBALLS MILL RD WB OSWEGATCHIE RV,40 - Town,1900,06/20/2017,SD,5.51
is,Diana (Town),2.5 MI S OF HARRISVILLE,MARSHEY ROAD WBR.OSWEGATCHIE R,30 - County,1946,06/20/2017,SD,5.53
is,Diana (Town),1.9 MI SW OF HARRISVILLE,STEAM MILL ROAD W B OSWEGATCHIE R,30 - County,1971,08/10/2017,N,5.29
is,Greig (Town),0.7 MI SW OF GREIG,BURDICKS XING RD BLACK RIVER,30 - County,1965,06/19/2017,N,6.58
is,Greig (Town),3 MILES EAST OF GLENFIELD,EATONVILLE ROAD OTTER CREEK,40 - Town,1920,04/13/2017,SD,3.73
is,Greig (Town),1.9 MI SE OF GREIG,FISH CREEK ROAD FISH CREEK,40 - Town,1973,05/08/2017,FO,5.43
is,Greig (Town),2.6 MI SE OF GREIG,FISH CREEK ROAD FISH CREEK,30 - County,1973,10/27/2015,N,6.22
is,Greig (Town),AT GLENFIELD,GREIG ROAD BLACK RIVER,30 - County,1964,08/03/2017,N,6.79
is,Greig (Town),1.6 MI S OF BRANTINGHAM,NORTH SOUTH ROAD FISH CREEK,40 - Town,1950,04/13/2017,N,4.81
is,Greig (Town),7.4 MI NE OF BRANTINGHAM,PARTRIDGEVILLE RD OTTER CREEK,40 - Town,1978,10/10/2017,SD,5.62
is,Greig (Town),1.9 MI E OF GLENFIELD,PINE GROVE ROAD OTTER CREEK,30 - County,2006,05/08/2017,N,6.79
is,Greig (Town),3.3 MI NE OF GLENFIELD,PINE GROVE ROAD INDEPENDENCE RIVR,30 - County,1988,06/14/2017,N,6.72
is,Greig (Town),3.3 MI NE OF GLENFIELD,PINE GROVE ROAD INDEPENDENCE RIVR,30 - County,1988,06/14/2017,N,6.69
is,Harrisburg (Town),6.5 MI NW JCT RTE 177+12,12  12 74051284 MILL CREEK,NYSDOT,1927,09/11/2017,N,4.55
is,Harrisburg (Town),5.8 MI E JCT RTS 177 +194,177 177 74021093 TRIB OF MUD CREEK,NYSDOT,1993,06/01/2016,N,7.00
is,Harrisburg (Town),4.5 MI NE OF NEW BOSTON,COUNTY ROAD 25 COBB CREEK,30 - County,1968,07/11/2017,SD,
is,Harrisburg (Town),3 MI EAST OF NEW BOSTON,KUBINSKI ROAD MUD CREEK,30 - County,1970,08/22/2017,SD,5.00
is,Harrisburg (Town),2.5 MILES S OF COPENHAGEN,RIVER ROAD N BR KIMBERLY CRK,30 - County,1910,06/19/2017,SD,4.77
is,Harrisburg (Town),4.7 MI NE OF NEW BOSTON,RIVER ROAD South BRanch KIMBERLY,30 - County,1910,06/19/2017,N,4.76
"",,,Creek,,,,,
is,Harrisburg (Town),3 MI SOUTH OF COPENHAGEN,WOOD BATTLE ROAD COBB CREEK,30 - County,1939,08/02/2017,N,4.98
is,Harrisville (Village),IN HARRISVILLE,33 74021110 MOHAWK ADIR & NO,NYSDOT,1987,08/11/2015,N,5.28
is,Harrisville (Village),VILLAGE OF HARRISVILLE,33 74031106 OSWEGATCHIE RIVER,NYSDOT,1987,06/22/2017,N,6.49
is,Harrisville (Village),VILLAGE OF HARRISVILLE,RIVER STREET W B OSWEGATCHIE R,30 - County,1984,08/30/2017,FO,6.07
is,Harrisville (Village),.7 MILE S OF HARRISVILLE,SOUTH CREEK ROAD SOUTH CREEK,30 - County,1930,11/04/2015,N,5.00
is,Lewis (Town),0.8 MI N OF WEST LEYDEN,COUNTY ROAD 47 MIKEN BROOK,30 - County,1939,05/10/2017,N,6.70
is,Lewis (Town),1.2 MI NW OF FISH CREEK,JUNCTION ROAD ALDER CREEK,30 - County,1939,04/25/2017,FO,4.61
is,Lewis (Town),1.5 MI SW OF FISH CREEK,KOTARY ROAD E BR FISH CREEK,30 - County,1969,06/21/2017,N,5.07
is,Lewis (Town),4.5 MI W OF WEST LEYDEN,OSCEOLA ROAD POINT ROCK CREEK,30 - County,1964,05/18/2016,N,5.44
