"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Livingston County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ngston,Avon (Town),0.5MI NW NY5+US20 +NY39,55 42041093 Genesee River,NYSDOT,2003,07/01/2015,N,6.05
ngston,Avon (Town),JCT OF RTS 20 & I-390,55 42041127 390I390I42021334,NYSDOT,1980,10/08/2015,N,5.07
ngston,Avon (Town),JCT I390 & S.H.15,15  15 42021238 390I390I42021303,NYSDOT,1980,04/10/2017,N,6.06
ngston,Avon (Town),3.5 MI N JCT SH15 & US20A,15  15 42021250 LITTL CONESUS CRK,NYSDOT,1957,07/14/2015,N,4.66
ngston,Avon (Town),1.4MI SW JCT RTS 39+ 5+20,39  39 42061169 CONESUS LAKE OUTL,NYSDOT,1938,10/01/2015,N,4.86
ngston,Avon (Town),2.4 MI N JCT I390 & US20A,390I390I42021293 LIV AVON & LKVLLE,NYSDOT,1980,08/29/2017,N,5.41
ngston,Avon (Town),2.4 MI N JCT I390 & US20A,390I390I42021293 LIV AVON & LKVLLE,NYSDOT,1980,08/29/2017,N,4.91
ngston,Avon (Town),1.3 MILES SW OF AVON,LITTLEVILLE ROAD CONESUS OUTLET,30 - County,1931,10/06/2015,FO,4.69
ngston,Avon (Town),1 MI NE JCT.RTS 390I & 15,MARSHALL ROAD 390I390I42021313,NYSDOT,1980,04/30/2015,N,5.31
ngston,Avon (Town),1.8 MI N JCT RT 20 & I390,NORTH AVON ROAD 390I390I42021352,NYSDOT,1980,05/24/2017,N,5.82
ngston,Avon (Town),1.8 MILES SOUTH OF AVON,PAPERMILL ROAD CONESUS OUTLET,30 - County,1940,10/18/2016,SD,3.44
ngston,Avon (Town),1.9 MI NW OF LAKEVILLE,POLE BRIDGE RD CONESUS OUTLET,30 - County,2015,12/02/2015,N,7.00
ngston,Avon (Town),1.7 MI NE JCT.RTS 390I&15,SUTTON ROAD 390I390I42021320,NYSDOT,1980,07/08/2015,N,5.21
ngston,Avon (Town),2 MI N JCT I390 & S.H.20A,Triphammer Rd CR5 390I390I42021290,NYSDOT,1980,06/02/2017,N,5.86
ngston,Conesus (Town),1.4 MI NW OF CONESUS,EAST LAKE ROAD NORTH MCMILLAN CK,30 - County,1931,05/19/2017,N,5.96
ngston,Conesus (Town),0.5 MI N OF SCOTTSBURG,GUILTNER ROAD CONESUS INLET,30 - County,1988,08/21/2017,N,6.00
ngston,Conesus (Town),1.8 MI W OF CONESUS,SLIKER HILL ROAD CONESUS INLET,30 - County,2006,10/03/2016,FO,7.00
ngston,Dansville (Village),0.5 MI SW JCT RTS 36 & 63,36  36 42021013 MILL CREEK,NYSDOT,1991,04/26/2017,N,6.73
ngston,Dansville (Village),1 MI SE OF DANSVILLE,GIBSON STREET MILL CREEK,30 - County,1929,08/01/2016,N,6.29
ngston,Dansville (Village),IN VILLAGE OF DANSVILLE,RED JACKET STREET MILL CREEK,30 - County,2008,08/01/2016,N,6.87
ngston,Geneseo (Town),JCT. RTS 390I & 20A,20A 20A42031134 390I390I42021269,NYSDOT,1980,05/29/2015,N,4.76
ngston,Geneseo (Town),3.4MI NE JCT RTS 39 + 20A,39  39 42061125 JAYCOX CREEK,NYSDOT,1931,05/12/2016,N,5.44
ngston,Geneseo (Town),2.0MI N JCT RTS 63 & 408,63  63 42021188 390I390I42021197,NYSDOT,1982,11/14/2016,N,5.96
ngston,Geneseo (Town),1.0MI S GENESEO VIL LIV C,CROSSETT ROAD 390I390I42021208,NYSDOT,1982,11/11/2016,N,6.03
ngston,Geneseo (Town),1 MI SE GENESEO LIV CO LN,GROVELAND ROAD 390I390I42021218,NYSDOT,1982,09/06/2017,N,5.69
ngston,Geneseo (Town),1.2 MI N JCT.RTS 390I&20A,LIMA ROAD 390I390I42021283,NYSDOT,1980,05/23/2017,N,5.80
ngston,Geneseo (Town),1.2 MI SE GENESEO LIV CO,LONG POINT ROAD 390I390I42021230,NYSDOT,1982,11/10/2016,N,6.46
ngston,Geneseo (Town),3.0 MI.N.GENESEO,NATIONS ROAD JAYCOX CREEK,30 - County,2009,09/05/2017,N,6.82
ngston,Geneseo (Town),1.8MI E GENESEO LIV CO,RESERVOIR ROAD 390I390I42021240,NYSDOT,1982,07/17/2017,N,5.95
ngston,Groveland (Town),JCT OF RTS 36 & I-390,36  36 42021122 390I390I42021118,NYSDOT,1980,05/22/2017,N,5.92
ngston,Groveland (Town),1.2 M NW JCT RT 36 & I390,36  36 42021128 KESHEQUA CREEK,NYSDOT,1996,06/21/2016,N,5.85
ngston,Groveland (Town),0.8MI NE JCT RTS 63 + 258,63  63 42021112 Mosquito Creek,NYSDOT,1939,11/09/2016,N,6.57
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Livingston County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ngston,Groveland (Town),5.2MI NE JCT RTS 63 + 258,63  63 42021136 UNKNOWN CR,NYSDOT,1939,11/09/2016,N,6.33
