"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Madison County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ison,Brookfield (Town),2.5 MI SE OF GORTON LAKE,CR 80 SKANEAT TPK BEAVER CREEK,30 - County,1987,06/09/2016,N,4.76
ison,Brookfield (Town),2.5 MI E OF GORTON LAKE,CR78 SWAMP ROAD SANGERFIELD RIVER,30 - County,2005,04/12/2016,N,7.00
ison,Brookfield (Town),1.5 MI.NE OF  GORTON LAKE,CR82BLIVEN ROAD BEAVER CREEK,30 - County,1984,06/30/2016,N,5.00
ison,Brookfield (Town),FORKS ROAD,CR84 FORKS ROAD UNADILLA RIVER,30 - County,1990,07/13/2016,N,7.00
ison,Brookfield (Town),4.25 MI S OF BROOKFIELD,CR99 BEAVER CREEK RD BEAVER CREEK,30 - County,1948,07/18/2016,N,6.51
ison,Brookfield (Town),3 MI S GORTON LAKE,CR99 BEAVER CREEK RD WEST CREEK,30 - County,1926,05/16/2016,FO,5.60
ison,Brookfield (Town),3 MI S GORTON LAKE,STANBRO ROAD BEAVER CK,30 - County,1967,05/16/2016,FO,5.54
ison,Canastota (Village),07MI N  JCT RTS 5+13,13  13 24051319 Old Erie Canal,NYSDOT,1928,11/18/2015,N,4.64
ison,Canastota (Village),JCT RT 13 + COWASELON CK,13  13 24051333 COWASELON CREEK,NYSDOT,1976,06/22/2017,N,5.83
ison,Canastota (Village),0.7 MI W JCT I90<INT 34,90IX CANASTOTA CREEK,2L - NYS Thruway Authority,1953,05/23/2017,N,4.00
ison,Canastota (Village),0.7 MI W JCT I90&INT 34,90IX CANASTOTA CREEK W,2L - NYS Thruway Authority,1953,05/23/2017,N,5.00
ison,Canastota (Village),N CANASTOTA  VILLAGE S,BUCK ST OLD ERIE CANAL,NYSDOT,1950,10/31/2016,N,6.53
ison,Canastota (Village),0.33 MI SW OF CANASTOTA,CR6 NEW BOSTON STREET OWLVILLE CREEK,41 - Village,1965,09/23/2016,N,3.00
ison,Canastota (Village),N CANASTOTA E RTE13,DIAMOND ST OLD ERIE CANAL,NYSDOT,1947,10/31/2016,N,6.60
ison,Canastota (Village),EXIT 34 OF I90,EXIT 34 RAMP 90IX,2L - NYS Thruway Authority,1954,10/02/2015,FO,5.04
ison,Canastota (Village),AT VILLAGE OF CANASTOTA,MAIN STREET OLD ERIE CANAL,NYSDOT,1927,10/31/2016,N,5.51
ison,Canastota (Village),0.3 MI W JCT I90&INT 34,NORTH MAIN ST 90IX,2L - NYS Thruway Authority,1953,07/26/2017,SD,3.99
ison,Canastota (Village),1 MI NORTH OF CANASTOTA,NORTH MAIN STREET COWASELON CREEK,30 - County,1949,07/20/2016,N,5.82
ison,Canastota (Village),NORTH PETERBORO ST RT 13,Route 13 90IX,NYSDOT,1954,11/20/2015,SD,4.08
ison,Cazenovia (Town),5.8 MI S JCT RTS 20 & 13,13  13 24051093 LIMESTONE CREEK,NYSDOT,1994,06/15/2016,N,6.85
ison,Cazenovia (Town),3 MI NW CAZENOVIA,BALLINA ROAD CHITTENANGO CREEK,30 - County,1946,06/23/2016,N,5.85
ison,Cazenovia (Town),3 MI SE JCT RTS 13 & 20,CR 50 CONSTINE BRIDGE CHITTENANGO CREEK,30 - County,1994,06/13/2016,N,6.80
"",,,ROAD,,,,,
ison,Cazenovia (Town),4 MI S CAZENOVIA,CR65 EAST ROAD CHITTENANGO CREEK,30 - County,1969,05/18/2016,N,5.00
ison,Cazenovia (Town),AT EARLVILLE,CR65 MILL STREET E BR LIMESTONE CREEK,30 - County,1930,05/25/2016,SD,5.30
ison,Cazenovia (Town),2 MI SOUTH OF CAZENOVIA,RIPPLETON CROSS RD CHITTENANGO CREEK,30 - County,1986,06/23/2016,N,6.74
ison,Cazenovia (Town),2.5 MI NORTH OF CAZENOVIA,TREATMNT PLANT RD CHITTENANGO CREEK,30 - County,1979,07/28/2016,FO,4.91
ison,Cazenovia (Village),1 MI EAST JCT RTS 20 & 13,20  20 24091032 CHITTENANGO CREEK,NYSDOT,1993,04/25/2017,N,6.53
