"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Montgomery County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
tgomery,Ames (Village),2.2 MI S JCT RTS 163 & 10,10  10 25031013 BRIMSTONE CREEK,NYSDOT,1994,10/12/2016,N,4.82
tgomery,Amsterdam (City),.1MI.NW JCT.RT30&MOHAWK R,55 25122020 CHUCTANUNDA CREEK,NYSDOT,1971,09/08/2015,N,5.44
tgomery,Amsterdam (City),0.3 MI NE JCT RT30&MOHK R,55 25122419 CHUCTANUNDA CREEK,NYSDOT,1979,11/02/2015,N,4.87
tgomery,Amsterdam (City),0.9 MI W JCT RTS 5S & 30,5S  5S25032001 FLORIDA AVENUE,NYSDOT,1956,07/11/2016,N,5.77
tgomery,Amsterdam (City),1.0 MI W JCT RTS 5S & 160,5S  5S25032010 30  30 25042004,NYSDOT,1960,10/05/2016,N,4.90
tgomery,Amsterdam (City),.6 MI N JCT SH 5S & SH 3,30  30 2502R200 MINAVILLE STREET,NYSDOT,1960,04/11/2016,N,4.23
tgomery,Amsterdam (City),.5 MI N JCT SH 5S & SH 30,30  30 25042008 CLEVELAND AVENUE,NYSDOT,1960,11/28/2016,FO,4.36
tgomery,Amsterdam (City),0.2 MI S JCT RTS 5 & 30,30  30 25042009 E.W.ARTERIAL,NYSDOT,1973,11/24/2015,FO,4.21
tgomery,Amsterdam (City),02MI S JCT RTS 5+30,30  30 25042011 E.W ARTERIAL,NYSDOT,1973,11/19/2015,FO,4.67
tgomery,Amsterdam (City),JCT OF RTS 67+30,30  30 25042014 67  67 25022024,NYSDOT,1969,11/24/2015,FO,4.45
tgomery,Amsterdam (City),02MI S JCT RTS 5+30,30 X E.W.ARTERIAL,NYSDOT,1973,11/19/2015,FO,5.33
tgomery,Amsterdam (City),JCT OF SH 30 & SH 67,67  67 25022024 CHUCTANUNDA CREEK,NYSDOT,1969,07/23/2015,FO,5.38
