"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Nassau County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
sau,Atlantic Beach (Village),AT ATLANTIC BEACH,ATLANTIC BCH BR ROADWAY A (SPAN4),23 - Nassau County Bridge,1952,11/02/2015,FO,4.44
"",,,,Authority,,,,
sau,East Hills (Village),I495 - 7.75KM NE QNS CLL,495I 495I03021050 LOCUST LANE,NYSDOT,2003,08/19/2016,N,6.38
sau,East Hills (Village),I495 - 5.2 MI NE QNS C L,495I EB TO NSP EB 906A906A03021054,NYSDOT,1959,05/02/2017,FO,6.38
sau,East Hills (Village),I495 -4.6 MI NE QNS CO LN,495I495I03021048 ROSLYN ROAD,NYSDOT,2000,08/19/2016,N,6.19
sau,East Hills (Village),NSP - 4.8 MI NE QNS CO LN,908G908G03011047 LOCUST LANE,NYSDOT,1934,01/05/2016,FO,5.44
sau,East Hills (Village),NSP - 5.1 MI NE QUEENS C,908G908G03011050 495I EB TO NSP EB,NYSDOT,1968,01/08/2016,FO,5.00
sau,East Hills (Village),I495 - 5.2 MI NE QUEENS C,NSP WB TO 495I WB 495I495I03021055,NYSDOT,2000,04/21/2016,FO,6.82
sau,East Hills (Village),RTE 495-5.2 MI NE QNS CL,NSP WB TO 495I WB 906A906A03021055,NYSDOT,1959,05/02/2017,FO,6.57
sau,East Hills (Village),NSP - 4.2 MI NE QNS CO LN,ROSLYN ROAD 908G908G03011043,NYSDOT,1968,03/18/2016,FO,4.90
sau,East Hills (Village),NSP - 4.2 MI NE QNS CO LN,ROSLYN ROAD 908G908G03011043,NYSDOT,1934,06/01/2016,FO,4.63
sau,East Rockaway (Village),.5 MILE E OF E ROCKAWAY,ATLANTIC AVENUE MILL RIVER,30 - County,1946,02/02/2016,FO,5.02
sau,Freeport (Village),AT FREEPORT-S OF SSP,908E908E03011046 27  27 03041086,NYSDOT,1938,01/18/2017,FO,4.70
sau,Freeport (Village),AT FREEPORT-S OF SSP,908E908E03011048 LONG ISLAND-MK BR,NYSDOT,1934,09/29/2015,FO,4.79
sau,Freeport (Village),AT FREEPORT-S OF SSP,MERRICK ROAD 908E90BE03011043,NYSDOT,1934,01/18/2017,FO,4.44
sau,Glen Cove (City),IN GLEN COVE,107 107 03012000 SEACLIFF AVENUE,NYSDOT,1962,07/27/2017,N,5.63
sau,Glen Cove (City),City of Glen Cove,Charles St Glen Cove Crk,42 - City,2007,05/16/2017,FO,6.03
sau,Glen Cove (City),IN GLEN COVE,HENDRICK AVENUE 107 107 03012006,NYSDOT,1962,07/26/2017,N,5.69
sau,Glen Cove (City),SOUTH OF MATINICOCK PT,SOUTHLAND DRIVE DOSORIS POND,42 - City,1929,05/12/2016,FO,6.53
sau,Great Neck Plaza (Village),1.4 MI SW OF MANHASSET,BARSTOW RD LIRR PT WASH BR,41 - Village,1935,08/19/2016,SD,4.37
sau,Great Neck Plaza (Village),2.2 MI SW OF MANHASSET,BAYVIEW AVENUE LIRR PT WASH BR,30 - County,1955,08/05/2016,SD,4.50
sau,Great Neck Plaza (Village),1.6 MI SW OF MANHASSET,MIDDLE NECK ROAD LONG ISLAND-PT WS,30 - County,1935,09/25/2015,FO,5.04
sau,Hempstead (Town),RTE 24 AT NYC-NASSAU CL,24  24 03031002 PEDESTRIAN TUNNEL,NYSDOT,1904,04/19/2017,N,6.08
sau,Hempstead (Town),.2 MI E NYC L-RTE 24,24  24 03031002 VEHIC-PED TO PRKG,NYSDOT,1958,04/19/2017,N,6.38
sau,Hempstead (Town),2.3 MI W JCT RTS 24+WSP,24  24 03031080 908E908E03011091,NYSDOT,1956,04/19/2017,FO,4.70
sau,Hempstead (Town),700 FT W JCT SH 24 & MSP,24  24 03031080 CULVERT,NYSDOT,1956,10/01/2015,N,5.46
sau,Hempstead (Town),JCT RTS 24+WSP,24  24 03031103 908T908T03011097,NYSDOT,1937,05/23/2017,FO,6.13
sau,Hempstead (Town),1.9 MI S JCT RTS SSP&WSP,27  27 03041116 908T908T03011056,NYSDOT,1928,02/08/2017,FO,6.44
sau,Hempstead (Town),JCT RTS 27+135,27  27 03041128 135 135 03011017,NYSDOT,1970,08/26/2016,FO,5.94
sau,Hempstead (Town),AT EAST MEADOW-N OF SSP,102 102 03011032 EAST MEADOW BROOK,NYSDOT,1935,11/18/2016,N,5.53
sau,Hempstead (Town),JCT RTS 105 & WSP,105 105 03011013 908T908T03011072,NYSDOT,1967,02/27/2017,FO,5.56
sau,Hempstead (Town),.4 MI S JCT RTS SSP+WSP,105 105 03011013 908T908T03011072,NYSDOT,1932,02/27/2017,FO,6.33
sau,Hempstead (Town),1.3 MI W JCT RTS SSP+WSP,106 106 03011002 908M908M03011105,NYSDOT,1930,01/21/2016,FO,5.20
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Nassau County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
sau,Hempstead (Town),1.3 MI W JCT RTS SSP+WSP,106 106 03011002 908M908M03011105,NYSDOT,1956,01/21/2016,FO,5.20
sau,Hempstead (Town),JCT RTS 106+WSP,106 106 03011026 908T908T03011100,NYSDOT,1938,05/30/2017,FO,5.97
sau,Hempstead (Town),.6 MI S JCT SH 27 & SH135,135 135 03011011 MERRICK RD,NYSDOT,1969,09/01/2016,N,6.53
sau,Hempstead (Town),.4 MI S JCT RTS 27+135,135 135 03011013 WAVERLY AVENUE,NYSDOT,1969,08/03/2016,N,6.63
sau,Hempstead (Town),.7 MI S JCT RTS 105+135,135 135 03011021 CLARK STREET,NYSDOT,1970,09/14/2016,N,6.25
sau,Hempstead (Town),JCT RTS 105+135,135 135 03011029 105 105 03011026,NYSDOT,1965,06/09/2015,FO,5.17
sau,Hempstead (Town),JCT RTS 135+SSP,135 135 03011036 908M908M03011134,NYSDOT,1966,07/18/2017,FO,6.33
sau,Hempstead (Town),JCT RTS 135+SSP,135 135 03011036 908M908M03011134,NYSDOT,1966,04/24/2017,FO,5.00
sau,Hempstead (Town),.6 MI N JCT SH 135 & SSP,135 135 03011041 ARLINGTON DRIVE,NYSDOT,1965,05/24/2017,FO,4.86
sau,Hempstead (Town),NEAR EAST BAY IN NASSAU,908C908C03011000 REYNOLDS CHANNEL,NYSDOT,1934,01/27/2016,FO,4.71
sau,Hempstead (Town),NEAR EAST BAY IN NASSAU,908C908C03011013 LONG CREEK,NYSDOT,1934,01/29/2016,FO,4.86
sau,Hempstead (Town),NEAR EAST BAY IN NASSAU,908C908C03011022 SWIFT CREEK,NYSDOT,1999,11/03/2015,N,5.92
