"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Oneida County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ida,Annsville (Town),7.4 MI SE JCT SH13 & SH69,69  69 26021140 BLOSSVALE ROAD,NYSDOT,2003,05/19/2017,FO,6.56
ida,Annsville (Town),7.4 MI SE JCT SH13 & SH69,69 X E BRANCH FISH CRK,NYSDOT,2003,06/08/2017,N,7.00
ida,Annsville (Town),4.25 MILES N OF TABERG,BLAKE ROAD FLORENCE CREEK,40 - Town,1963,04/19/2017,SD,4.80
ida,Annsville (Town),4 MI NE TABERG,COAL HILL ROAD FALL BROOK,30 - County,2012,04/24/2017,N,6.73
ida,Annsville (Town),2 MI NE OF TABERG,COAL HILL ROAD FLORENCE CREEK,40 - Town,1962,09/06/2016,N,3.00
ida,Annsville (Town),2.5 MILES SW OF TABERG,COUNTY ROAD 66 W BR FISH CREEK,30 - County,2007,09/28/2015,N,6.91
ida,Annsville (Town),6 MI NE OF TABERG,CR67A SHEEHAN ROAD E BR FISH CREEK,30 - County,1939,10/29/2015,N,5.96
ida,Annsville (Town),4 MI N OF TABERG,GLENMORE ROAD FLORENCE CREEK,30 - County,1953,10/31/2016,N,4.63
ida,Annsville (Town),.59 MI NE JCT RTS 69<285,GLENMORE ROAD FURNACE CREEK,30 - County,1941,10/18/2016,N,6.44
ida,Annsville (Town),8 MI NORTH OF TABERG,GOSSNER ROAD FALL BROOK,40 - Town,1965,07/05/2016,N,5.02
ida,Annsville (Town),1 MI W JCT SH 69 & SH 285,MAIN  STREET E BR FISH CREEK,40 - Town,2009,11/16/2015,FO,6.68
ida,Annsville (Town),0.5 MI NORTH OF TABERG,MAIN STREET FURNACE CREEK,40 - Town,1929,08/24/2016,N,3.80
ida,Annsville (Town),IN TABERG,MAIN STREET FURNACE CREEK,40 - Town,1985,06/27/2016,N,6.15
ida,Annsville (Town),2.54 MI SW OF TABERG,MCCONNELLSVLLE RD WEST BR FISH CRK,30 - County,2007,10/15/2015,N,7.00
ida,Annsville (Town),1.5 MI NE OF TABERG,PALMER ROAD E BNCH FISH CREEK,40 - Town,1972,09/06/2016,N,4.63
ida,Annsville (Town),5 MILES N OF TABERG,SHEEHAN ROAD FALL BROOK,30 - County,1999,07/01/2016,N,6.06
ida,Augusta (Town),4.1 MI N JCT RTS 128 & 26,26  26 26051047 SCONONDOA CREEK,NYSDOT,1998,07/25/2016,N,6.52
ida,Augusta (Town),IN AUGUSTA,SIMMONS ROAD SCONONDOA CREEK,40 - Town,1922,10/24/2016,SD,4.87
ida,Ava (Town),.75 MILE EAST OF AVA,CR67 EAST AVA ROAD E BR MOHAWK RIVER,30 - County,2008,04/25/2016,N,6.86
ida,Ava (Town),1.25 MI EAST OF AVA,EAST AVA ROAD WOOD CREEK,30 - County,1998,07/05/2016,N,5.00
ida,Ava (Town),3.5 MI SW OF AVA,WEST AVA ROAD POINT ROCK CREEK,30 - County,1991,07/05/2016,FO,5.44
ida,Barneveld (Village),0.8 MI N JCT RTS 12 & 28,12  12 26043106 CINCINNATI CR,NYSDOT,2013,12/10/2015,N,7.00
ida,Barneveld (Village),06MI S  JCT RTS 365+12,365  12C26012163 STEUBEN CREEK,NYSDOT,1931,09/27/2016,N,4.72
ida,Barneveld (Village),AT BARNEVELD,BOON STREET STEUBEN CREEK,40 - Town,1915,10/25/2016,FO,5.09
ida,Boonville (Town),JCT RTE 28N+12,28  28 26071148 12  12 26043215,NYSDOT,1947,08/03/2015,N,4.48
ida,Boonville (Town),.8 MI W JCT SH 46 & SH29,294 294 26021054 MILL CREEK,NYSDOT,2004,07/25/2016,N,6.55
ida,Boonville (Town),2 MI S JCT SH 46 & SH 294,4646 26023195 BLACK RIVER CANAL,NYSDOT,1946,12/03/2015,N,4.71
ida,Boonville (Town),3.75 MI SE OF BOONVILLE,COUNTY ROAD 74 LANSING KILL,30 - County,1952,09/29/2016,N,5.44
ida,Boonville (Town),4MI NE OF BOONVILLE,CUMMINGS ROAD CUMMINGS CREEK,40 - Town,1990,09/21/2015,N,5.68
ida,Boonville (Town),2 MI NE BOONVILLE,DEVOE ROAD MILL CREEK,40 - Town,1930,04/27/2016,N,7.00
ida,Boonville (Town),3 MI EAST OF BOONVILLE,HAWKINSVILLE ROAD BLACK RIVER,30 - County,1950,09/15/2016,N,4.74
ida,Boonville (Town),5 MI N OF BOONEVILLE,HAWKINSVILLE ROAD CUMMINGS CREEK,30 - County,1933,09/21/2016,N,4.69
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Oneida County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ida,Boonville (Town),EAST OF BOONVILLE,HAWKINSVILLE ROAD FRSTPT CNL FEEDER,NYSDOT,1928,09/14/2016,N,5.00
ida,Boonville (Town),E SH 12 - BOONVILLE N.Y.,HAYES ROAD FRSTPT CNL FEEDER,40 - Town,1970,09/26/2016,N,6.52
ida,Boonville (Town),E.RTE 12 BOONVILLE NY,HAYES ROAD EAST FRSTPT FEEDER CNL,NYSDOT,1993,09/13/2017,N,7.00
ida,Boonville (Town),JOSLIN ROAD - BOONVILLE,JOSLIN ROAD MILE CREEK,40 - Town,1989,06/29/2017,N,6.33
ida,Boonville (Town),4 MI NE OF BOONEVILLE,JOSLIN ROAD MILE CREEK,40 - Town,1983,11/16/2016,N,6.68
ida,Boonville (Town),2 MI WEST OF BOONEVILLE,LEWIS ROAD MOOSE CREEK,40 - Town,1981,04/19/2017,N,5.08
ida,Boonville (Town),E RTE 12 B00NVILLE,MILLERS WOODS RD FIRSTP CNL FEEDER,NYSDOT,1993,09/13/2017,N,6.00
ida,Boonville (Town),1.75 MI  SW HAWKINSVILLE,MILLERS WOODS RD KENT CREEK,30 - County,1996,07/07/2016,FO,5.89
ida,Boonville (Town),2.5 MI NE BOONEVILLE,MOOSE RIVER ROAD BLACK RIVER,40 - Town,1958,09/29/2016,N,5.17
ida,Boonville (Town),NE OF BOONVILLE,MOOSE RIVER ROAD FRSTPT CNL FEEDER,NYSDOT,1929,07/07/2016,SD,5.23
ida,Boonville (Town),RT 46 5 MI NORTH RT 274,PARK ROAD LANSING KILL,20 - State - Other,2010,11/07/2016,N,7.00
ida,Boonville (Town),3 MI NE OF BOONVILLE,PINES ROAD CUMMINGS CREEK,40 - Town,1975,09/26/2016,N,6.79
ida,Boonville (Town),VILLAGE OF BOONVILLE,SARGENT ROAD FRSTPT CNL FEEDER,NYSDOT,1951,09/27/2016,FO,4.63
ida,Boonville (Town),6 MI NW OF BOONEVILLE,WEST LEYDEN ROAD MOOSE CREEK,30 - County,1947,08/09/2016,N,4.78
ida,Boonville (Town),E RTE 12 BOONVILLE NY,WILLIAMS ROAD FRSTPT CNL FEEDER,NYSDOT,1950,09/27/2016,FO,5.17
ida,Boonville (Village),01MI N  JCT RTS 12D+12,12D 12D26011000 BARGE CANAL FEED,NYSDOT,1932,10/15/2015,N,4.68
ida,Boonville (Village),02MI N  JCT RTS 12D+12,1212 26043283 BARGE CANAL FEED,NYSDOT,1935,07/26/2017,N,4.71
ida,Bridgewater (Town),1.75 MI N OF BRIDGEWATER,CR4 MAPLEDALE RD TIONADARA CR,30 - County,1939,07/13/2016,N,4.25
ida,Bridgewater (Village),.4 MI E JCT US 20 & SH 8,20  20 26101114 W BR UNADILLA RVR,NYSDOT,1980,11/15/2016,N,4.40
ida,Camden (Town),3.3 MI N JCT RTS 13 & 69,13  13 26061164 WEST BR FISH CRK,NYSDOT,1991,05/05/2017,N,6.13
