"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Orleans County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ans,Albion (Town),3.8MI W JCT BARGE C+RTE98,ALLENS BRIDGE RD ERIE CANAL,NYSDOT,1909,10/26/2016,SD,3.43
ans,Albion (Town),1.4 MI E JCT BRG C & SH98,BUTTS ROAD ERIE CANAL,NYSDOT,1912,09/05/2017,FO,5.11
ans,Albion (Town),2.3MI W JCT BARGE C+387,DENSMORE ROAD ERIE CANAL,NYSDOT,1911,08/23/2017,SD,5.34
ans,Albion (Town),1.3 MI S EAGLE HARBOR,EAGLE HBR-W BARRE OTTER CREEK,30 - County,1999,08/18/2017,N,7.00
ans,Albion (Town),2.3MI E JCT BARGE C+RTE98,KEITEL ROAD ERIE CANAL,NYSDOT,1912,09/22/2017,FO,5.49
ans,Albion (Town),1 MI W JCT BARGE C & SH98,LATTINS FARM DRVE COUNTY ROAD 2,NYSDOT,1911,09/14/2017,SD,4.82
ans,Albion (Town),4.2MI W JCT BARGE C+RTE98,PRESBYTERIAN ROAD ERIE CANAL,NYSDOT,1909,11/02/2016,FO,5.33
ans,Albion (Town),7.4 MI S.EAGLE HABOR,W.COUNTY HOUSE RD OTTER CREEK,30 - County,1986,11/14/2016,N,6.00
ans,Albion (Village),.8 MI E JCT SH 31 & SH 98,31  31 45021157 W BR SANDY CREEK,NYSDOT,1931,11/03/2015,N,5.39
ans,Albion (Village),JCT S.H.98 & BARGE CANAL,98  98 45041081 ERIE CANAL,NYSDOT,1914,11/23/2016,SD,5.48
ans,Albion (Village),0.8MI E JCT BARGE C+RTE98,BROWN STREET ERIE CANAL,NYSDOT,1912,10/24/2016,SD,4.45
ans,Albion (Village),.2 MI E JCT BG CNL & SH98,INGERSOLL STREET ERIE CANAL,NYSDOT,1911,09/15/2017,FO,6.74
ans,Barre (Town),0.9 MI SE WEST BARRE,GILLETTE ROAD UNNAMED CREEK,30 - County,1930,10/19/2016,SD,4.44
ans,Barre (Town),3.5 MI SE BARRE CENTER,OAK ORCHARD RD MANNING MUKLAND CK,30 - County,2015,12/16/2015,N,7.00
ans,Carlton (Town),JCT RTE 18 & JOHNSON CRK,18  18 45021104 JOHNSON CREEK,NYSDOT,1995,07/21/2017,N,6.72
ans,Carlton (Town),JCT RTE18+0AK ORCHARD CK,18  18 45021143 OAK ORCHARD CREEK,NYSDOT,1936,11/04/2016,SD,5.14
ans,Carlton (Town),0.2MI E JCT RTS 18 + 98,18  18 45021153 BEARDSLEY CREEK,NYSDOT,1931,06/10/2015,N,4.35
ans,Carlton (Town),2.7MI E JCT RTS 18 + 98,18  18 45021177 PROCTOR BROOK,NYSDOT,1931,06/11/2015,N,4.17
ans,Carlton (Town),3.2MI E JCT RTS 18 + 98,18  18 45021183 MARSH CREEK EAST,NYSDOT,1932,06/11/2015,N,4.20
ans,Carlton (Town),2.2MI N JCT RTS 98 + 104,98  98 45041129 MARSH CREEK TRIB,NYSDOT,1932,06/14/2016,N,4.83
