"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Queens County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ens,Hempstead (Town),1.8MI S GCP+CRSS ISL PKWY,BELMONT PARK RAMP 907A 907AX5M22106,42 - City,1957,01/12/2016,FO,4.66
ens,New York (City),.5 MI E JCT CIP & SH 24,24  2403031000 907A 907AX5MR14B1,42 - City,1935,03/04/2016,SD,5.84
ens,New York (City),1.5MI S GCP+CRSS ISL PKWY,25  25 03031003 907A907AX5M21110,42 - City,1939,03/18/2016,FO,5.45
ens,New York (City),AT SUNNYSIDE YARD,25  25 05021009 LIRR-SP12,42 - City,1910,11/04/2016,FO,6.15
ens,New York (City),QUEENSBORO BR OVR EAST RV,25 X 21ST STREET,42 - City,1957,10/03/2016,FO,6.00
ens,New York (City),QUEENSBORO BR OVR EAST RV,25 X 22ND STREET,42 - City,1929,09/16/2016,FO,4.39
ens,New York (City),JCT I678 & SH 25,25 X 678I678IX5M12035,NYSDOT,1953,06/29/2016,FO,7.00
ens,New York (City),1.4MI S GCP+CRSS ISL PKWY,25 X 907A907AX5M21111,42 - City,1939,05/20/2016,FO,4.81
ens,New York (City),0.2 MI W JCT SH 25 & I278,25 X CONN QB.TO BQE SB,42 - City,1940,09/14/2016,FO,6.48
ens,New York (City),QUEENSBORO BR OVR EAST RV,25 X JACKSON AVENUE,42 - City,1957,10/28/2016,FO,4.66
ens,New York (City),JCT I678 & SH 25,25 X MAIN ST,NYSDOT,1953,04/23/2016,SD,6.29
ens,New York (City),QUEENSBORO BR OVR EAST RV,25 X Queensboro Bridge,42 - City,1957,06/16/2016,N,6.06
ens,New York (City),0.3 E JCT SH 25A & C I PK,25A 25A05011109 ALLEY CREEK,42 - City,1931,06/20/2016,FO,4.31
ens,New York (City),2.2 MI S I78+I495,25AX 295I295IX5M12027,NYSDOT,1961,07/20/2017,FO,4.26
ens,New York (City),0.1 MI E I678 + ROUTE 25A,25AX 678IXNB TO N BLVD,42 - City,1981,09/29/2016,FO,4.59
ens,New York (City),2.7MI SE I78+CRSS ISL PKY,25AX 907A907AX5M21144,42 - City,1939,06/29/2016,FO,6.31
ens,New York (City),JCT GCP+I678,25AX 907M907MX5M14047,NYSDOT,1963,08/12/2016,FO,5.17
ens,New York (City),JCT GCP+I678,25AX 907M907MX5M14047,NYSDOT,1963,04/13/2016,FO,6.53
ens,New York (City),JCT GCP+I678,25AX BOAT BASIN ROAD,NYSDOT,1963,04/08/2016,FO,6.45
