"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Rensselaer County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
sselaer,Berlin (Town),RT 22 AT CENTER BERLIN,22  22 14071116 LITTLE HOOSIC RIV,NYSDOT,1950,08/08/2016,N,4.69
sselaer,Berlin (Town),RT 22 AT BERLIN,22  22 14071142 UNKNOWN STREAM UN,NYSDOT,1960,08/08/2016,N,4.67
sselaer,Berlin (Town),2.7 MI SW OF PETERSBURG,BRIMMER FARM RD LITTLE HOOSIC RIV,40 - Town,1975,04/18/2017,FO,4.97
sselaer,Berlin (Town),0.1 MI SE OF BERLIN,CR36 PARK AVENUE LITTLE HOOSIC RIV,30 - County,1912,05/31/2017,SD,3.11
sselaer,Berlin (Town),6.1 MI E OF POESTENKILL,DUTCH CHURCH ROAD POESTEN KILL,30 - County,1989,06/22/2016,N,3.67
sselaer,Berlin (Town),IN BERLIN,ELM STREET LITT HOOSIC RIVER,30 - County,1935,09/13/2016,N,6.67
sselaer,Berlin (Town),1.6 MI S OF BERLIN,LANPHIER LANE LITTLE HOOSIC RIV,40 - Town,1935,04/18/2017,N,4.72
sselaer,Berlin (Town),.5 MI SE OF BERLIN,S.E.HOLLOW ROAD LITTLE HOOSIC RIV,30 - County,1950,05/17/2016,N,3.74
sselaer,Berlin (Town),2.7 MILES SOUTH OF BERLIN,SAND BANK ROAD LITT HOOSIC RIVER,30 - County,2015,11/23/2015,N,7.00
sselaer,Berlin (Town),0.8 MI NE OF BERLIN,SATTERLEE ROAD LITTLE HOOSIC RIV,40 - Town,1940,06/22/2017,FO,4.55
sselaer,Brunswick (Town),2.5 MI E JCT RTS 66 & 2,22 14022014 POESTEN KILL,NYSDOT,1931,06/09/2017,SD,4.12
sselaer,Brunswick (Town),RTE 2 AT EAGLE MILLS,22 14022029 POESTEN KILL,NYSDOT,2006,08/12/2016,FO,6.33
sselaer,Brunswick (Town),0.5 MI E JCT RTS 2 & 351,22 14022062 QUACKENKILL CREEK,NYSDOT,1998,08/17/2016,N,6.54
sselaer,Brunswick (Town),1.3 MI E JCT RTS 2 & 351,22 14022071 QUACKENKILL CREEK,NYSDOT,1998,08/18/2016,N,6.46
sselaer,Brunswick (Town),2.3 MI E JCT RTS 2 & 351,22 14022081 QUACKENKILL CREEK,NYSDOT,1998,08/17/2016,N,6.56
sselaer,Brunswick (Town),1.5MI W OF CROPSEYVILLE,351 351 14011079 QUACKEN KILL,NYSDOT,2004,10/11/2016,N,6.69
sselaer,Brunswick (Town),CROPSEYVILLE,BLUE FACTORY RD QUACKEN KILL,30 - County,1985,08/18/2016,N,5.88
sselaer,Brunswick (Town),1.8MI.SE.EAGLE MILLS,DATER HILL ROAD QUACKEN KILL,40 - Town,2012,10/18/2016,N,6.74
sselaer,Brunswick (Town),1.7MI.SE.OF EAGLE MILLS,DEARSTYNE ROAD QUACKEN KILL,30 - County,1990,05/11/2017,N,4.96
sselaer,Brunswick (Town),1 MILE SW OF RAYMERTOWN,JOHN SNYDER ROAD TOMHANNOCK CREEK,40 - Town,1940,04/18/2017,N,3.98
sselaer,Brunswick (Town),1.8MI.NE.EAGLE MILLS,WHITE CHURCH RD QUACKEN KILL,40 - Town,2015,12/02/2015,N,7.00
sselaer,East Greenbush (Town),0.4 MI N JCT RTS 4 & 9,44 14011004 MILL CREEK,NYSDOT,1930,05/03/2016,N,3.67
sselaer,East Greenbush (Town),JCT OF RTS I90 & 4,44 14011020 90I 90I14022024,NYSDOT,1968,11/02/2015,SD,4.13
sselaer,East Greenbush (Town),JCT OF RTS 43 & I90,90I 90I14022010 43  43 14032014,NYSDOT,1968,04/13/2016,N,4.28
sselaer,East Greenbush (Town),JCT OF RTS 43 & I90,90I 90I14022010 43  43 14032014,NYSDOT,1968,04/13/2016,N,5.45
sselaer,East Greenbush (Town),JCT RTS I90 & 151,90I 90I14022030 151 151 14011027,NYSDOT,1970,04/12/2016,N,4.07
sselaer,East Greenbush (Town),JCT RTS I90 & 151,90I 90I14022030 151 151 14011027,NYSDOT,1970,04/12/2016,N,4.47
sselaer,East Greenbush (Town),0.1 MI S JCT RT I90 & 151,90I 90I14022030 MILL CREEK,NYSDOT,1971,05/30/2017,N,5.00
sselaer,East Greenbush (Town),1.9 MI N EXIT 10 OF I90,90I 90I14022053 UNFINISHED ROAD,NYSDOT,1972,09/27/2016,N,4.98
sselaer,East Greenbush (Town),1.9 MI N EXIT 10 OF I90,90I 90I14022053 UNFINISHED ROAD,NYSDOT,1972,09/27/2016,N,4.74
sselaer,East Greenbush (Town),0.4 MI W JCT RTS 151 & 4,151 151 14011018 MILL CREEK,NYSDOT,1959,09/29/2016,N,6.00
sselaer,East Greenbush (Town),.2 MI E JCT I90 & SH 151,151 151 14011028 MILL CREEK,NYSDOT,1937,06/15/2016,N,5.00
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Rensselaer County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
sselaer,East Greenbush (Town),1.5 MI S JCT RT I90 & 151,ELLIOT ROAD 90I 90I14022045,NYSDOT,1972,10/26/2016,N,5.42
sselaer,East Greenbush (Town),2.3 MI SE OF RENSSELAER,OLD RED MILL ROAD MILL CREEK,40 - Town,1986,06/03/2016,N,5.09
sselaer,East Greenbush (Town),1 MI NW OF EAST GREENBUSH,OLD TROY ROAD MILL CREEK,40 - Town,1938,08/24/2017,FO,4.23
sselaer,East Nassau (Village),S.H.66 AT EAST NASSAU,66  66 14021035 KINDERHOOK CREEK,NYSDOT,2004,06/14/2016,N,6.77
sselaer,East Nassau (Village),0.2 MI N OF E.NASSAU,66  66 14021040 BLACK BROOK,NYSDOT,1928,06/29/2016,N,4.32
sselaer,East Nassau (Village),RTE 66 AT HOAG CORNERS,66  66 14021071 TSATSAWASSA CREEK,NYSDOT,1901,09/12/2016,N,5.29
