"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Richmond County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
hmond,New York (City),3.9 Mi W Jct I278 & Belt,278I 278IX6M13056 Renwick Ave.,NYSDOT,2014,07/27/2016,N,6.65
hmond,New York (City),3.0 Mi W Jct I278 & Belt,278I 278IX6M14065 Targee St,NYSDOT,2014,05/13/2016,FO,5.54
hmond,New York (City),2.7M W JCT I278 & BELT PK,278I 278IX6M14068 MOSEL AVE,NYSDOT,2005,08/12/2016,N,7.00
hmond,New York (City),2.6MI W JCT I278&BELT PKY,278I 278IX6M14169 SIRT SOUTH SHORE,NYSDOT,2005,10/02/2015,FO,6.50
hmond,New York (City),I278 OVER THE NARROWS,278I278I02021011 287IX,2U - MTA Bridges and,1961,10/31/2016,FO,5.00
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 OVER THE NARROWS,278I278I02021011 I278 WESTBOUND,2U - MTA Bridges and,1961,10/31/2016,FO,4.56
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 OVER THE NARROWS,278I278I02021011 RELIEF,2U - MTA Bridges and,1961,08/13/2016,SD,5.07
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 OVER THE NARROWS,278I278I02021011 WESTBOUND I278,2U - MTA Bridges and,1961,10/14/2016,FO,4.78
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 OVER AUTHUR KILL,278I278I06011018 ARTHUR KILL,2W - Port Authority of NY,1928,08/08/2016,FO,
"",,,,and NJ,,,,
hmond,New York (City),I278 OVER THE NARROWS,278I278I06011088 278I278I06011088,2U - MTA Bridges and,1961,10/27/2016,FO,3.81
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 OVER VERRAZ. NARROWS,278I278I06011088 278I278I06011088,2U - MTA Bridges and,1961,10/27/2016,FO,3.69
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),JCT I278 & SH 440,278I278IX6M13019 SOUTH AVENUE,NYSDOT,1962,06/02/2017,N,5.52
hmond,New York (City),JCT I278+RICHMOND AVE,278I278IX6M13026 RICHMOND AVE,NYSDOT,1962,06/14/2016,FO,5.11
hmond,New York (City),JCT I278+440,278I278IX6M13028 440 440 X6MR10B4,NYSDOT,1962,04/07/2016,FO,5.78
hmond,New York (City),JCT I278+440,278I278IX6M13029 440 440 X6M111O5,NYSDOT,1962,01/08/2016,FO,4.99
hmond,New York (City),JCT I278+VICTORY BLVD,278I278IX6M13031 VICTORY BLVD.,NYSDOT,1962,05/12/2016,N,6.22
hmond,New York (City),4.8MI W JCT I278+BELT PKY,278I278IX6M13047 MANOR ROAD,NYSDOT,2015,05/13/2016,N,7.00
hmond,New York (City),4.5MI W JCT I278+BELT PKY,278I278IX6M13050 SLOSSON AVE,NYSDOT,1965,05/10/2016,FO,6.90
hmond,New York (City),2.7MI W JCT I278&BELT PKY,278I278IX6M13068 Mosel Ave,NYSDOT,1965,08/12/2016,N,6.24
hmond,New York (City),W OF I278 & THE NARROWS,278I278IX6M13078 LILY POND AVENUE,2U - MTA Bridges and,1961,09/26/2016,N,5.17
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),JCT I278+W SHORE EXPY,278I278IX6M14013 FOREST AVE,NYSDOT,1963,08/11/2016,FO,4.89
hmond,New York (City),JCT I278 & SH 440,278I278IX6M14019 SOUTH AVENUE,NYSDOT,1962,04/06/2016,FO,6.48
hmond,New York (City),JCT I278+RICHMOND AVE,278I278IX6M14026 RICHMOND AVE,NYSDOT,1962,06/14/2016,FO,5.73
hmond,New York (City),JCT I278+440,278I278IX6M14028 440 440 X6MR10B4,NYSDOT,1962,04/07/2016,FO,5.43
hmond,New York (City),JCT I278+440,278I278IX6M14029 440 440 X6M11105,NYSDOT,1962,01/08/2016,FO,4.96
hmond,New York (City),JCT I278+VICTORY BLVD,278I278IX6M14031 VICTORY BLVD,NYSDOT,1962,05/12/2016,FO,6.23
hmond,New York (City),4.8MI W JCT I278+BELT PKY,278I278IX6M14047 MANOR ROAD,NYSDOT,2015,05/13/2016,FO,6.85
hmond,New York (City),4.5MI W JCT I278+BELT PKY,278I278IX6M14050 SLOSSON AVE,NYSDOT,1965,05/10/2016,N,6.90
hmond,New York (City),2.7MI W JCT I278+BELT PKY,278I278IX6M14068 MOSEL AVE,NYSDOT,1965,06/30/2017,FO,6.13
hmond,New York (City),JCT I278+W SHORE EXPY,278I278IX6MI3013 FOREST AVENUE,NYSDOT,1963,06/09/2017,FO,6.45
hmond,New York (City),2.6 MI W JCT I278&BLT PKY,278I278IX6MI4069 SIRT SOUTH SHORE,NYSDOT,1965,10/26/2016,FO,4.04
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Richmond County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
hmond,New York (City),JCT OF RTS  I-278 & I-440,278I278IX6MR02A2 OLD PLACE CREEK,NYSDOT,1968,08/15/2016,N,5.00
hmond,New York (City),I278 OVER THE NARROWS,278IX 278I278IEASTBOUND,2U - MTA Bridges and,1967,08/22/2016,FO,5.22
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 OVER THE NARROWS,278IX 278IWESTBOUND0110,2U - MTA Bridges and,1967,08/18/2016,FO,5.75
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 NJ/NY BORDER,278IX GULF AVENUE,2W - Port Authority of NY,2017,08/12/2016,FO,
"",,,,and NJ,,,,
hmond,New York (City),I278 OVER THE NARROWS,278IX I278 TO 92ND ST.,2U - MTA Bridges and,1965,07/13/2016,FO,4.87
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 OVER THE NARROWS,278IX OTHER,2U - MTA Bridges and,2016,10/29/2016,N,5.57
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 OVER THE NARROWS,278IX RELIEF,2U - MTA Bridges and,1961,07/25/2016,N,4.00
"",,,,Tunnels (aka TBTA),,,,
hmond,New York (City),I278 NY/NJ BORDER,278IX WESTERN AVENUE,2W - Port Authority of NY,1928,08/05/2016,FO,
"",,,,and NJ,,,,
hmond,New York (City),2.6 MI W JCT I278&BLT PKY,287I287IX6M13069 SIRT SOUTH SHORE,NYSDOT,1965,10/01/2015,FO,4.13
hmond,New York (City),0.5 MI S OF FRESH KILLS,440  440 X6M12043 CRK AT STA 182+70,NYSDOT,1968,10/20/2015,FO,5.51
hmond,New York (City),ARTHUR KILL,440 440 06011015 ARTHUR KILL,2W - Port Authority of NY,1928,08/26/2016,FO,5.23
"",,,,and NJ,,,,
hmond,New York (City),ARTHUR KILL,440 440 06011015 ARTHUR KILL ROAD,2W - Port Authority of NY,1928,08/29/2016,FO,4.85
"",,,,and NJ,,,,
hmond,New York (City),ARTHUR KILL,440 440 06011015 STATE STREET RAMP,2W - Port Authority of NY,1928,09/09/2016,FO,4.05
"",,,,and NJ,,,,
hmond,New York (City),SH440SB TOLL PLZA VIADUCT,440 440 06012000 RELIEF,2W - Port Authority of NY,1965,08/28/2015,N,4.89
"",,,,and NJ,,,,
