"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Schenectady County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
enectady,Delanson (Village),RTE 395 IN DELANSON,395 395 16011006 NORMANS KILL,NYSDOT,1968,06/08/2017,N,5.53
enectady,Delanson (Village),VILLAGE OF DELANSON,"CR 84, COLE ROAD NORMANS KILL",30 - County,2003,06/13/2017,N,6.36
enectady,Duanesburg (Town),.8 MI SW JCT US 20 & SH 7,77 16051070 DELAWARE & HUDSON,NYSDOT,1990,07/10/2017,N,6.13
enectady,Duanesburg (Town),JCT RT 20 & SCHTDY CO LNE,20  20 16191000 SCHOHARIE CREEK,NYSDOT,1993,05/23/2017,N,5.36
enectady,Duanesburg (Town),0.2 MI NW JCT RTS 7 & 20,20  20 16191062 NORMANS KILL,NYSDOT,1929,06/01/2016,N,3.67
enectady,Duanesburg (Town),JCT OF RTS 20 & I88,20  20 16191071 88I 88I16081086,NYSDOT,1981,12/13/2016,FO,5.89
enectady,Duanesburg (Town),1.5 MI E OF SCHOHARIE CL,88I 88I16081017 SHELDON RD CR 10D,NYSDOT,1980,03/30/2017,FO,4.75
enectady,Duanesburg (Town),1.5 MI E OF SCHOHARIE CL,88I 88I16081017 SHELDON RD CR 10D,NYSDOT,1980,03/30/2017,FO,4.97
enectady,Duanesburg (Town),1.3 MI W JCT RTS 20 & I88,88I 88I16081071 WEAVER ROAD,NYSDOT,1981,03/23/2016,FO,5.96
enectady,Duanesburg (Town),1.3 MI W JCT RTS 20 & I88,88I 88I16081071 WEAVER ROAD,NYSDOT,1981,03/23/2016,FO,5.41
enectady,Duanesburg (Town),1.2 MI W JCT US 20 & I88,88I 88I16081072 DELAWARE & HUDSON,NYSDOT,1981,06/06/2016,FO,4.80
enectady,Duanesburg (Town),1.2 MI W JCT RTS 20 & I88,88I 88I16081072 DELAWARE & HUDSON,NYSDOT,1981,06/06/2016,N,4.80
enectady,Duanesburg (Town),JCT RTES 30 & 159,159 159 16011000 SO CHUCTANUNDA CK,NYSDOT,1959,06/20/2017,SD,3.00
enectady,Duanesburg (Town),1.9MI SE OF DUANESBURG,BOZENKILL ROAD BOZEN KILL,40 - Town,1889,10/19/2015,N,4.69
enectady,Duanesburg (Town),3.1 MILE N OF ESPERANCE,BRAMAN CORNERS RD SCHOHARIE CREEK,30 - County,1998,06/09/2016,N,4.74
enectady,Duanesburg (Town),2.9 MI W JCT RTS 20 & I88,CHADWICK ROAD 88I 88I16081056,NYSDOT,1981,04/17/2017,FO,5.18
enectady,Duanesburg (Town),4 MI SW JCT RTS 7 < I-88,DARBY HILL ROAD 88I 88I16081047,NYSDOT,1980,07/11/2017,FO,4.85
enectady,Duanesburg (Town),.4 MI N OF DUANESBURG,DEPOT ROAD NORMANS KILL,30 - County,1907,06/09/2017,N,6.10
enectady,Duanesburg (Town),3 MI WEST OF MARIAVILLE,DUANESBG CRCHS RD S CHUCTANUNDA CRK,30 - County,1990,04/28/2017,N,4.00
enectady,Duanesburg (Town),0.5m E of RT 30,Duanesburg-Church Trib S Chuctanund,30 - County,2012,10/28/2016,N,7.00
enectady,Duanesburg (Town),0.4 MI SOUTH OF ESPERANCE,OLD ROUTE 30 SCHOHARIE CK TRIB,30 - County,1993,03/29/2016,N,5.57
enectady,Duanesburg (Town),.4 MI.E JCT RTS 20 I88,RTE 7 & 20 CONN. 88I 88I16081088,NYSDOT,1981,05/09/2017,FO,6.52
enectady,Duanesburg (Town),3.3 MI W JCT RTS 20 & I88,SCHOHARIE TURNPKE 88I 88I16081053,NYSDOT,1981,05/09/2017,FO,5.52
enectady,Duanesburg (Town),.9 MILE SE OF ESPERANCE,YOUNGS ROAD TRB SCHOHARIE CRK,30 - County,1996,06/01/2017,SD,6.44
enectady,Glenville (Town),0.2 MI N JCT RTS 5 & 103,55 16131024 AMTRAK,NYSDOT,1952,10/28/2016,FO,5.88
enectady,Glenville (Town),4.6 MI SW JCT 50 & 146A,50  50 16011040 INDIAN KILL,NYSDOT,2008,03/31/2016,N,5.96
enectady,Glenville (Town),2.4 MI SW JCT 50 & 146A,50  50 16011060 ALPLAUS KILL,NYSDOT,1994,03/31/2016,N,6.02
enectady,Glenville (Town),1.5 MI N JCT RTS 5+ 147,147 147 16011014 VLEY ROAD CR 19G,NYSDOT,1983,09/06/2016,N,4.81
enectady,Glenville (Town),JCT RT 911F & MOHAWK RIVR,911F911F16011006 MOHAWK R/ERIE CAN,NYSDOT,1985,06/16/2016,N,5.99
enectady,Glenville (Town),4.1MI NE OF SCHENECTADY,914V914V16011014 ALPLAUS KILL,NYSDOT,2013,09/17/2015,N,7.00
enectady,Glenville (Town),.8 MI W OF REXFORD,ALPLAUS AVENUE ALPLAUS KILL,30 - County,1969,05/03/2017,FO,6.84
enectady,Glenville (Town),1.4MISW OF EAST GLENVILLE,DROMS ROAD INDIAN KILL,30 - County,1993,04/13/2017,N,7.00
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Schenectady County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
enectady,Glenville (Town),1.2 MI N OF E GLENVILLE,LAKE HILL ROAD LA RUE BROOK,30 - County,1997,06/02/2017,N,6.00
enectady,Glenville (Town),1.3MI SW OF BURNT HILLS,VAN VORST ROAD ALPLAUS KILL,30 - County,2015,10/01/2015,N,7.00
enectady,Niskayuna (Town),JCT RTE 146 & ERIE CANAL,146 146 16033040 ERIE CANAL,NYSDOT,2017,10/27/2016,N,3.60
enectady,Niskayuna (Town),MOHAWK R &  FERRY ROAD,FERRY RD. BACKCHANNELMOHAWK,NYSDOT,2010,06/13/2016,FO,6.05
enectady,Niskayuna (Town),2 MI.NE.JCT.RTS.7&911M,ROSENDALE ROAD LISHA KILL,30 - County,1987,10/19/2015,FO,5.78
enectady,Princetown (Town),3.25 MI W JCT 7 & I890,77 16051112 NORMANS KILL,NYSDOT,2011,10/28/2015,N,7.00
enectady,Princetown (Town),3.1MI W.INT.RTES 337 & 7,77 16051115 BONNY BROOK,NYSDOT,1987,08/21/2015,SD,5.94
enectady,Princetown (Town),2.2 MI E JCT RTS I88 & 20,88I 88I16081106 UNNAMED STREAM,NYSDOT,1980,08/29/2016,SD,4.89
enectady,Princetown (Town),2.2 MI E JCT I88 & US 20,88I 88I16081107 UNNAMED STREAM,NYSDOT,1980,08/19/2016,N,5.43
enectady,Princetown (Town),0.3 MI SW JCT RTS I88 & 7,88I 88I16081121 NORMANS KILL,NYSDOT,1980,07/06/2016,N,5.07
enectady,Princetown (Town),0.3 MI SW JCT RTS I88 & 7,88I 88I16081122 NORMANS KILL,NYSDOT,1980,07/06/2016,N,5.00
enectady,Princetown (Town),JCT OF SH 7 & I88,88I 88I16081125 77 16051126,NYSDOT,1980,07/21/2016,N,5.47
enectady,Princetown (Town),JCT OF SH 7 & I88,88I 88I16081125 77 16051126,NYSDOT,1980,07/21/2016,N,5.10
enectady,Princetown (Town),1.4 MI SW JCT I88 & I90,88I 88I16081130 PANGBURN ROAD,NYSDOT,1981,04/10/2017,FO,6.21
enectady,Princetown (Town),1.4 MI SW JCT I88 & I90,88I 88I16081130 PANGBURN ROAD,NYSDOT,1981,04/10/2017,FO,6.43
