"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Seneca County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
eca,Covert (Town),.5MI NW JCT89&TOMPKINS CC,89  89 35021006 TRUMANSBURG CREEK,NYSDOT,1986,10/23/2015,N,5.16
eca,Covert (Town),5.4 MI S OF INTERLAKEN,ARDEN RD BOARDMAN CREEK,40 - Town,1973,09/12/2016,N,3.67
eca,Covert (Town),4.6 MI S OF INTERLAKEN,DAWSON CORNERS RD BOARDMAN CREEK,30 - County,2010,09/08/2016,N,7.00
eca,Covert (Town),7.9 MI SE OF INTERLAKEN,FRONTENAC ROAD TRUMANSBURG CREEK,40 - Town,1940,06/26/2017,SD,4.93
eca,Covert (Town),3.1 MI S OF INTERLAKEN,INTERLAKEN ROAD BOARDMAN CREEK,30 - County,1946,10/13/2016,SD,4.04
eca,Fayette (Town),JCT S.H.96A & BARGE CANAL,96A 96A35011265 CAYUGA-SENECA CNL,NYSDOT,1962,09/06/2017,N,5.88
eca,Fayette (Town),2 MI N JCT SH 336 & SH 96,ALLEN ROAD KENDIG CREEK,40 - Town,1940,09/13/2016,N,6.38
eca,Fayette (Town),2 MILES SW OF WATERLOO,COUNTY ROAD 119 KENDIG CREEK,30 - County,1950,10/08/2015,FO,4.60
eca,Fayette (Town),2.5 MI SW OF WATERLOO,MARSHALL RD KENDIG CREEK,30 - County,1950,09/27/2016,FO,4.59
eca,Fayette (Town),2.7 MI N JCT SH 96A & SH3,YELLOW TAVERN RD KENDIG CREEK,30 - County,1950,08/10/2016,N,5.16
eca,Junius (Town),0.8 MI W OF EXIT 41 TOLL,BIRDSEY RD CR 106 90IX,2L - NYS Thruway Authority,1999,09/04/2015,FO,6.08
eca,Junius (Town),4.5 MI W OF EXIT 41,GRANGE HALL RD 90IX,2L - NYS Thruway Authority,1998,09/01/2016,FO,6.86
eca,Junius (Town),3.6 MI E OF EXIT 42 TOLL,NINE FOOT RD CR 1 90IX,2L - NYS Thruway Authority,1999,09/18/2015,FO,6.08
eca,Junius (Town),2.0 MI W EXIT 41 I90,STONE CHURCH RD 90IX,2L - NYS Thruway Authority,1953,05/19/2016,FO,6.80
eca,Junius (Town),3.0 MI W EXIT 41 I90,WHISKEY HILL RD C 90IX,2L - NYS Thruway Authority,1953,05/30/2017,FO,5.27
eca,Lodi (Town),0.7 MI SW JCT RTS 96A&414,414 414 35041051 MILL CREEK,NYSDOT,1993,06/12/2017,N,6.57
eca,Lodi (Town),2.3 MI SOUTH OF LODI,DEAN ROAD MILL CREEK,40 - Town,1936,11/01/2016,SD,3.56
eca,Lodi (Town),1.0 MI S OF LODI,LODI CENTER RD MILL CREEK,30 - County,1936,07/27/2016,N,5.83
eca,Lodi (Town),3.2 MI W OF LODI,LOWER LAKE RD MILL CREEK,40 - Town,1962,09/21/2016,N,6.33
eca,Lodi (Town),1.4 MI WEST OF LODI,UPPER LAKE ROAD MILL CREEK,40 - Town,1936,12/06/2016,SD,3.28
eca,Lodi (Village),0.7 MI SW OF LODI,COUNTY ROAD 136A MILL CREEK,30 - County,1921,12/01/2016,N,3.57
eca,Ovid (Town),2.5MI NW JCT RTS 96 + 96A,96  96 35031086 SHELDRAKE CREEK,NYSDOT,1942,07/13/2016,N,5.57
eca,Ovid (Town),7.2 MI EAST OF OVID,COUNTY ROAD 153 SHELDRAKE CREEK,30 - County,1994,07/13/2016,N,4.14
eca,Ovid (Town),2.1 MI NW OF LODI,GILBERT ROAD TOMMY CREEK,30 - County,1993,08/28/2017,SD,4.35
eca,Ovid (Town),2.7 MI NW OF INTERLAKEN,HALL ROAD SHELDRAKE CREEK,40 - Town,1958,07/25/2017,SD,4.80
eca,Ovid (Town),2.5 MI N OF INTERLAKEN,POTTER ROAD SHELDRAKE CREEK,40 - Town,1920,11/14/2016,SD,3.69
eca,Ovid (Town),3.4 MI SW OF OVID,UPPER LAKE ROAD SIXTEEN FALLS CREEK,30 - County,1986,04/05/2017,N,4.48
eca,Ovid (Town),5.6 MI EAST OF OVID,WYERS POINT ROAD GROVES CREEK,40 - Town,1936,09/15/2016,SD,5.13
eca,Ovid (Town),6.7 MI E OF OVID,WYERS POINT ROAD NIVEK CREEK,40 - Town,1966,08/30/2016,SD,3.53
eca,Romulus (Town),3.3 MI NW OF OVID,EAST LAKE ROAD INDIAN CREEK,30 - County,2013,10/08/2015,N,7.00
eca,Seneca Falls (Town),.8 MI SE JCT SH 5 & SH 89,89  89 35021304 CAYUGA-SENECA CNL,NYSDOT,1964,08/29/2016,N,5.13
eca,Seneca Falls (Town),JCT RTE 414+ SENECA CANAL,414 414 35061265 CAYUGA-SENECA BAR,NYSDOT,1984,09/01/2016,N,5.06
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Seneca County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
eca,Seneca Falls (Town),.3 MI W JCT RTE 414+CANAL,BRIDGE STREET SENECA RIVER,41 - Village,1915,09/13/2017,N,3.69
eca,Seneca Falls (Town),S JCT S.H.414 & US20/SH5,RIVER ROAD CONN. CAYUGA-SENECA CNL,NYSDOT,1993,08/03/2017,N,6.45
eca,Seneca Falls (Town),1.7 mi S Jct Exit 41 I90,ROUTE 414 BLACK BROOK,NYSDOT,2012,11/16/2016,N,6.92
eca,Seneca Falls (Town),.6 MI W JCT RTE 414+CANAL,Veterans Br St SENECA RIVER,41 - Village,1959,10/20/2017,FO,5.81
eca,Tyre (Town),JCT US 20 & CAY & SEN CNL,5  5  35061143 CAY & SEN CANAL,NYSDOT,1932,09/15/2016,SD,3.54
eca,Tyre (Town),.8 MI SE JCT SH31&WYNE CL,31  31 35071008 TRIB SENECA RIVER,NYSDOT,1997,10/13/2015,N,5.93
eca,Tyre (Town),JCT SH 31 & CAY & SEN CNL,31  31 35071016 CAY & SEN CANAL,NYSDOT,1949,09/22/2016,N,3.61
eca,Tyre (Town),.8 MI NE JCT SH 89 & I90,89  89 35021348 ERIE CANAL,NYSDOT,1969,08/26/2016,N,6.31
eca,Tyre (Town),Black Brook,318  318 35011020 Black Brook,NYSDOT,1962,10/05/2015,N,6.05
