"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,St Lawrence County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
awrence,Brasher (Town),1.4 MI NE JCT 11C & 420,11C 11C75011044 ST REGIS RIVER,NYSDOT,1933,11/14/2016,N,6.06
awrence,Brasher (Town),1.4 MI NE JCT US11C & SH4,11C 11C75011044 ST REGIS RIVER,NYSDOT,1933,11/14/2016,N,6.56
awrence,Brasher (Town),JCT RTE 37C + ST.REGIS R,37C 37C75011052 ST REGIS RIVER,NYSDOT,1959,10/26/2015,SD,5.02
awrence,Brasher (Town),5.0 MI N OF BRASHER CENTR,COUNTY ROAD 37 SPRING BROOK,30 - County,1938,12/02/2015,SD,4.81
awrence,Brasher (Town),2.0 MI E OF HELENA,"CR 37, HELENA-BOM HUNKINS MARSH",30 - County,1934,08/29/2017,N,5.47
awrence,Brasher (Town),2 MILES SW OF HELENA,"CR 53, BRASHER FL ST REGIS RIVER",30 - County,1999,10/26/2015,N,6.09
awrence,Brasher (Town),1 MI N OF NORTH LAWRENCE,"CR 55, YOUMMELL R DEER RIVER",30 - County,1960,07/11/2017,N,6.84
awrence,Brasher (Town),3 MI N OF NORTH LAWRENCE,"CR 55, YOUMMELL R DEER RIVER",30 - County,1962,09/20/2016,N,6.08
awrence,Brasher (Town),LOCATED IN HELENA,"CR 92A, DEPOT ST DEER RIVER",30 - County,1931,09/26/2016,N,4.69
awrence,Brasher (Town),3 MILES EAST OF HELENA,KEENAN ROAD HUNKINS MARSH,40 - Town,1902,08/07/2017,SD,5.00
awrence,Brasher (Town),2.5 MI N OF NO LAWRENCE,SHADY CITY ROAD DEER RIVER,30 - County,1989,07/11/2017,N,6.39
awrence,Brasher (Town),LOCATED IN BRASHER IRON W,SMITH ROAD DEER RIVER,30 - County,2008,10/18/2016,N,6.46
awrence,Canton (Town),0.6 MI SE JCT RTS 68 + 11,68  68 75012191 TRACY BROOK,NYSDOT,1959,06/21/2016,N,5.06
