"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Sullivan County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
livan,Bethel (Town),0.3 MI W OF BRISCOE,BAIM ROAD BRISCOE LAKE OUTL,30 - County,1929,04/26/2017,N,5.19
livan,Bethel (Town),AT BLACK LAKE,COUNTY ROAD 13 BLACK LAKE CREEK,30 - County,1966,04/11/2017,N,6.47
livan,Bethel (Town),1 MILE N OF MONGAUP VALLY,GALE ROAD W BR MONGAUP RVR,30 - County,1997,08/24/2017,N,6.42
livan,Bethel (Town),1.4 MI W OF BRISCOE,HUFF ROAD BRISCOE LAKE OUTL,30 - County,1977,03/27/2017,FO,6.44
livan,Bethel (Town),AT SMALL WOOD,LAKE SHORE DRIVE WHITE LAKE BROOK,30 - County,2001,08/03/2017,N,6.35
livan,Bethel (Town),AT SWAN LAKE,MOUNT HOPE ROAD W BR MONGAUP RIVR,30 - County,1939,03/27/2017,FO,4.46
livan,Bethel (Town),2.5 MI S OF SWAN LAKE,OLD WHITE LK TRPK W BR MONGAUP RVR,30 - County,1977,03/27/2017,N,6.47
livan,Bethel (Town),0.4 MI S OF SWAN LAKE,SWAN LAKE ROAD W BR MONGAUP RVR,30 - County,1985,09/22/2015,N,5.63
livan,Bethel (Town),IN BRISCOE,WILLI HILL ROAD BRISCOE LAKE,30 - County,2017,05/31/2017,SD,
livan,Callicoon (Town),9 MI W JCT SH 17 & SH 52,52  52 96011218 PANTHER ROCK CRK,NYSDOT,1953,05/24/2017,N,4.38
livan,Callicoon (Town),.1 MI E JCT SH 52 & CR149,52  52 96011219 E BR CALLICOON CK,NYSDOT,2004,07/07/2016,N,7.00
livan,Callicoon (Town),1.3 MI E OF JEFFERSONVLLE,BRISCOE ROAD E B CALLICOON CRK,30 - County,2005,10/06/2015,N,6.62
livan,Callicoon (Town),2.0 MI N OF NORTH BRANCH,BUCK BROOK ROAD BUCK BROOK,30 - County,1998,08/03/2016,N,6.58
livan,Callicoon (Town),2.1 MI NORTH OF N BRANCH,BUCK BROOK ROAD BUCK BROOK,30 - County,2001,03/13/2017,N,6.88
livan,Callicoon (Town),0.1 E OF CALLICOON CENTER,CR125 CALICOON CT N BR CALLICOON CK,30 - County,1947,08/23/2016,N,5.98
livan,Callicoon (Town),1.5 MI SW OF YOUNGSVILLE,DEWITT FLATS ROAD E BR CALLICOON CK,30 - County,1966,09/22/2016,SD,4.96
livan,Callicoon (Town),1.1 MI S OF CALLICOON CTR,HUST ROAD N BR CALLICOON CK,30 - County,1947,09/06/2016,SD,5.56
livan,Callicoon (Town),IN YOUNGSVILLE OFF SH 52,JACK MENGES ROAD E BR CALLICOON CK,30 - County,1992,03/27/2017,N,4.92
livan,Callicoon (Town),1.1 MI E OF NORTH BRANCH,JFFSNVLLE N BR RD N B CALLICOON CRK,30 - County,1952,03/13/2017,N,6.31
livan,Callicoon (Town),AT NORTH BRANCH,NORTH BRANCH ROAD BUCK BROOK,30 - County,1947,05/03/2017,N,5.70
livan,Callicoon (Town),IN CALLICOON CENTER,NORTH BRANCH ROAD TRB CALLICOON CRK,30 - County,2005,09/21/2015,N,6.00
livan,Callicoon (Town),1.5 MI SW OF NORTH BRANCH,NORTH BRANCH ROAD TYLER BROOK,30 - County,1992,03/13/2017,N,5.81
livan,Callicoon (Town),0.1 MI N OF NORTH BRANCH,OBERNBURG ROAD BUCK BROOK,30 - County,1971,08/03/2016,N,6.48
livan,Callicoon (Town),1.5 MI W OF NORTH BRANCH,PLEASANT VLLEY RD TYLER BROOK,40 - Town,1999,03/13/2017,N,6.48
livan,Callicoon (Town),0.6 MI E OF NORTH BRANCH,POLEY ROAD N BR CALLICOON CK,30 - County,1962,08/03/2016,N,6.28
livan,Callicoon (Town),0.9 MI N OF YOUNGSVILLE,SHANDELEE ROAD PANTHER ROCK BRK,30 - County,1966,08/04/2016,N,6.87
livan,Callicoon (Town),1.2 MI N CALLICOON CENTER,WEISSMAN ROAD N BR CALLICOON CK,30 - County,1982,08/03/2016,N,5.67
livan,Cochecton (Town),73 MI N JCT RTS 97 + 52,97  97 96021336 MITCHELL POND BRK,NYSDOT,1933,05/21/2015,N,4.57
livan,Cochecton (Town),AT COCHECTON,COCHECTON DAM RD DELAWARE RIVER,NYSDOT,1950,12/06/2016,SD,4.72
livan,Cochecton (Town),.7 MI E OF COCHECTON CNTR,COUNTY ROAD 115 TEN MILE RIVER,30 - County,1933,05/02/2017,N,5.55
livan,Cochecton (Town),5 MILES EAST OF COCHECTON,COUNTY ROAD 116 MITCHELL POND BRK,30 - County,2003,05/11/2017,N,7.00
livan,Cochecton (Town),0.75 MI E OF SH 97,LAKE HUNTINGTN RD MITCHELL POND BRK,30 - County,1993,06/14/2017,N,6.33
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Sullivan County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
livan,Cochecton (Town),0.25 MI E OF SH 97,LAKE HUNTINGTN RD MITCHELL POND BRK,30 - County,1993,03/30/2017,N,7.00
livan,Cochecton (Town),.3 MI SW OF COCHECTON CTR,TYLER ROAD TEN MILE RIVER,30 - County,1956,06/14/2017,N,4.77
livan,Delaware (Town),IN HORTONVILLE,17B 17B96011012. N BR CALLICOON CK,NYSDOT,1951,04/14/2016,N,6.39
livan,Delaware (Town),1.3 MI E JCT SH 17B & SH,17B 17B96011013. N BR CALLICOON CK,NYSDOT,1951,04/14/2016,N,6.27
livan,Delaware (Town),16 MI E JCT RTS 17B + 97,17B 17B96011017 JOE BROOK,NYSDOT,1956,04/14/2016,N,5.69
livan,Delaware (Town),JCT SH 52 + SH 52A,52  52 96011149 E BR CALLICOON CK,NYSDOT,1951,09/10/2015,N,5.32
livan,Delaware (Town),1.2 MI E JCT SH 52 & SH 5,52A 52A96011015 JONES CREEK,NYSDOT,2003,09/09/2015,N,5.83
livan,Delaware (Town),JCT RTS 97&17B,97  97 96021399 JEFFERSON STREET,NYSDOT,1988,08/22/2016,FO,5.68
livan,Delaware (Town),0.3 MI SW JEFFERSONVILLE,BACK ROAD E BR CALLICOON CK,30 - County,2008,05/11/2017,N,6.47
livan,Delaware (Town),1.3 MI E OF HORTONVILLE,BEECHWOODS ROAD JOE BROOK,30 - County,1995,04/11/2017,N,6.04
livan,Delaware (Town),AT CALLICOON,CALLICOON NY TOPA DELAWARE RIVER,NYSDOT,1961,11/03/2016,SD,3.25
livan,Delaware (Town),1.3 MI NW OF FOSTERDALE,COUNTY ROAD 117 E BR CALLICOON CK,30 - County,1950,07/27/2017,SD,5.00
livan,Delaware (Town),0.2 MI SE OF CALLICOON,CREAMERY ROAD CALLICOON CREEK,30 - County,1962,11/07/2016,N,7.00
livan,Delaware (Town),1.6 MI N OF HORTONVILLE,HANKINS RD CALKINS CREEK,30 - County,1994,06/03/2016,N,6.81
livan,Delaware (Town),IN HORTONVILLE,HORTONVILLE ROAD N BR CALLICOON CK,30 - County,1951,07/05/2017,N,4.90
livan,Delaware (Town),.5 MILE N OF HORTONVILLE,NORTH BRANCH ROAD CALKINS CREEK,30 - County,2003,06/14/2017,N,6.81
livan,Delaware (Town),2.0 MI N OF HORTONVILLE,ROBISCH HILL ROAD N BR CALLICOON CK,30 - County,1953,05/25/2016,N,7.00
livan,Delaware (Town),1.1 MI S OF JEFFERSONVLLE,SICKMILLER ROAD E BR CALLICOON CK,30 - County,1850,07/18/2017,FO,3.00
livan,Delaware (Town),0.2 MI SE OF HORTONVILLE,VIADUCT ROAD E BR CALLICOON CK,30 - County,2007,06/28/2017,N,5.75
livan,Delaware (Town),2.5 MI E OF HORTONVILLE,VILLA ROMA ROAD JONES BROOK,30 - County,1980,04/11/2017,N,5.00
livan,Delaware (Town),.9 MI NW OF KENOZA LAKE,WELSH ROAD E B CALLICOON CREEK,30 - County,1900,06/13/2017,FO,3.89
livan,Delaware (Town),3.2 MI SW JEFFERSONVILLE,WINKLESTERN LANE E BR CALLICOON CK,30 - County,2012,06/15/2016,N,6.69
livan,Fallsburg (Town),AT WOODBOURNE,42  42 96021225 NEVERSINK RIVER,NYSDOT,1983,09/01/2016,SD,5.90
livan,Fallsburg (Town),2.4 MI NE OF WOODBOURNE,42  42 96021249 UNNAMED STREAM,NYSDOT,1930,06/09/2016,N,6.35
livan,Fallsburg (Town),AT MOUNTAIN DALE,CHURCH ROAD SANDBURG CREEK,30 - County,1929,08/02/2016,N,5.15
livan,Fallsburg (Town),JCT CR 105 & DWYER AVENUE,COUNTY ROAD 105 TRIB NEVERSINK RIVER,30 - County,2004,10/04/2016,N,7.00
livan,Fallsburg (Town),IN FALLSBURG,COUNTY ROAD 53 NEVERSINK RIVER,30 - County,2015,12/14/2015,N,7.00
livan,Fallsburg (Town),1.9 MILES SE OF WOODRIDGE,COUNTY ROAD 54 SANDBURG CREEK,30 - County,1938,08/09/2017,SD,5.17
livan,Fallsburg (Town),.4 MI SE OF MOUNTAINDALE,COUNTY ROAD 55 SANDBURG CREEK,30 - County,1932,08/09/2017,N,4.32
livan,Fallsburg (Town),1.4 MI SE OF MOUNTAINDALE,COUNTY ROAD 55 SANDBURG CREEK,30 - County,1932,08/09/2016,SD,4.37
livan,Fallsburg (Town),1 MILE SE OF MOUNTAINDALE,COUNTY ROAD 55 SANDBURG CREEK,30 - County,2006,10/04/2016,N,7.00
livan,Fallsburg (Town),1.8 MI NW OF GLEN WILD,GREY ROAD NEVERSINK RIVER,30 - County,2010,10/13/2016,N,6.90
livan,Fallsburg (Town),2.7 MI SOUTH OF NEVERSINK,HASBROUCK A ROAD NEVERSINK RIVER,30 - County,1991,07/06/2017,N,5.86
"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Sullivan County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
livan,Fallsburg (Town),2.3 MI NW OF WOODBOURNE,HASBROUCK ROAD WYNKOOP BROOK,30 - County,1938,08/23/2017,N,4.87
livan,Fallsburg (Town),1.2 MI W OF HURLEYVILLE,KRUM ROAD E BR MONGAUP RVR,30 - County,2001,03/27/2017,N,6.35
livan,Fallsburg (Town),1.5 MI W OF HURLEYVILLE,KRUM ROAD EAST BRANCH MONGAUP,30 - County,1955,08/16/2016,N,4.65
"",,,RIVER,,,,,
livan,Fallsburg (Town),0.7 MI N OF HURLEYVILLE,LOCH SHELDRAKE RD TB E B MONGAUP RV,30 - County,1976,08/08/2017,FO,6.36
livan,Fallsburg (Town),0.2 MI S OF HURLEYVILLE,LOCH SHELDRAKE ROAD TRIBUTARY EAST,30 - County,1994,08/03/2016,N,5.18
"",,,MONGAUP RIVER,,,,,
livan,Fallsburg (Town),.8 MI SE OF MOUNTAINDALE,MOUNTAINDALE ROAD SANDBURG CREEK,30 - County,2004,09/15/2016,N,6.09
livan,Fallsburg (Town),0.7 MI SE OF MOUNTAINDALE,MOUNTAINDALE ROAD SANDBURG CREEK,30 - County,1932,05/09/2017,N,4.31
livan,Fallsburg (Town),CTR OF MOUNTAINDALE,MOUNTAINDALE ROAD SANDBURG CREEK,30 - County,1996,08/16/2016,N,7.00
