"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Tioga County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
a,Barton (Town),0.2 MI SE JCT SH17 & SH34,17  17 65063005 NORFOLKSOUTHERN R.R.,NYSDOT,1973,09/27/2016,N,4.74
"",,,M.P 272.33,,,,,
a,Barton (Town),.2 MI SE JCT SH 17 & SH 3,17  17 65063005 NORFOLK  SOUTHERN R.R.,NYSDOT,1973,09/27/2016,N,4.99
"",,,MP  272.33,,,,,
a,Barton (Town),2 MI SE JCT SH 17 & SH 34,17  17 65063024 SHEPARD ROAD,NYSDOT,1973,08/03/2016,N,5.73
a,Barton (Town),2 MI SE JCT SH 17 & SH 34,17  17 65063025 SHEPARD ROAD,NYSDOT,1973,08/03/2016,N,5.97
a,Barton (Town),2.2 MI SE JCT SH17 & SH34,17  17 65063027 ELLIS CREEK,NYSDOT,1973,03/28/2016,N,5.00
a,Barton (Town),RTE 17C N END OF BARTON,17C 17 65061088 BUTSON CREEK,NYSDOT,1938,11/13/2015,N,6.81
a,Barton (Town),RTE 17C 3.6 MI E WAVERLY,17C 17C65061047 ELLIS CREEK,NYSDOT,1931,04/29/2016,N,5.39
a,Barton (Town),1.2 MI N OF WAVERLY,34  34 65011012 CAYUTA CREEK,NYSDOT,1939,08/09/2016,SD,4.81
a,Barton (Town),1.3 MI.N.OF WAVERLY,34  34 65011014 MP 274.41 NOR SOU,NYSDOT,1938,11/12/2015,SD,4.13
a,Barton (Town),2.2 MI N OF WAVERLY,34  34 65011022 SPRING BROOK,NYSDOT,1937,09/28/2016,FO,4.33
a,Barton (Town),3.1 MI N OF WAVERLY,34  34 65011031 RANCH CREEK,NYSDOT,1937,09/28/2016,FO,4.26
a,Barton (Town),4.4 MI N OF WAVERLY,34  34 65011044 KING HOLLOW CREEK,NYSDOT,1937,11/16/2016,SD,2.33
a,Barton (Town),6.8 MI NORTH OF WAVERLY,34  34 65011069 DEAN CREEK,NYSDOT,1959,12/02/2015,N,6.59
a,Barton (Town),IN BARTON,BARTON ROAD BUTSON CREEK,40 - Town,2015,10/20/2015,N,6.33
a,Barton (Town),2 MILES SW OF BARTON,BARTON ROAD NORFOLK SOUTHERN,40 - Town,2016,12/08/2016,SD,7.00
"",,,MP.247.18,,,,,
a,Barton (Town),IN WAVERLY,BROAD STREET EXTENSION NORFOLK SOUTHERN R.R.,30 - County,1978,10/26/2015,N,5.58
"",,,Mile Point 272.65,,,,,
a,Barton (Town),3.1 MI S OF LOCKWOOD,CAMPTOWN ROAD CAYUTA CREEK,30 - County,2008,10/26/2016,N,6.75
a,Barton (Town),3.8 MI N OF WAVERLY,CAMPTOWN ROAD GLORY GULCH CREEK,40 - Town,1938,06/12/2017,SD,3.19
a,Barton (Town),0.5 MILE NORTH OF BARTON,COUNTY RD 11 BUTSON CREEK,30 - County,1990,04/26/2017,N,4.96
a,Barton (Town),2.6 MI NW OF BARTON,COUNTY ROAD 9 ELLIS CREEK,30 - County,2015,11/24/2015,N,7.00
a,Barton (Town),1 MILE NE OF LOCKWOOD,DEAN CREEK ROAD DEAN CREEK,30 - County,1990,09/24/2015,N,4.84
