"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Tompkins County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
pkins,Caroline (Town),3.6 MI NW TIOGA CL;RTE 79,79  79 36051035 SIX MILE CREEK,NYSDOT,1963,10/14/2015,N,5.14
pkins,Caroline (Town),.3 MI E JCT SH 79 & CR162,79  79 36051041 TRIB SIX MILE CRK,NYSDOT,1963,04/20/2017,N,7.00
pkins,Caroline (Town),.5 MILE EAST OF BESEMER,BANKS ROAD SIXMILE CREEK,30 - County,2008,10/24/2016,N,6.62
pkins,Caroline (Town),.9 MI W SLATERVILLE SPNGS,BOICEVILLE ROAD SIXMILE CREEK,30 - County,1942,06/20/2017,SD,5.63
pkins,Caroline (Town),IN SLATERVILLE SPRINGS,BUFFALO ROAD SIXMILE CREEK,30 - County,1993,04/20/2017,N,6.67
pkins,Caroline (Town),2 MI N OF SPEEDSVILLE,Blackman Hill Rd. W BR OWEGO CREEK,30 - County,1994,10/25/2016,N,6.25
pkins,Caroline (Town),1 MI SE OF W.SLATERVILLE,CENTRAL CHAPEL RD BOICE CREEK,30 - County,1966,04/03/2017,N,5.00
pkins,Caroline (Town),4.9 MI SE JCT RTS. 330&79,CENTRAL CHAPEL RD BOICE CREEK,30 - County,1987,05/10/2017,SD,4.15
pkins,Caroline (Town),AT GUIDE BOARD CORNERS,CENTRAL CHAPEL RD BOICE CREEK,30 - County,1966,04/03/2017,N,4.00
pkins,Caroline (Town),AT BROOKTONDALE,COOKS CORS-BRK RD SIX MILE CREEK,30 - County,1966,07/12/2016,N,3.67
pkins,Caroline (Town),1.6 MI SOUTH OF BESEMER,CR113LOUNSBERRYRD SIX MILE CREEK,30 - County,2003,07/12/2016,N,6.75
pkins,Caroline (Town),.4 MI W SLATERVILLE SPGS.,CREAMERY ROAD SIXMILE CREEK,30 - County,1977,05/31/2017,N,4.55
pkins,Caroline (Town),2.8 MI W SLATERVLLE SPNGS,HARFORD ROAD W BR OWEGO CREEK,30 - County,1977,10/25/2016,N,6.74
pkins,Caroline (Town),1 MI SOUTH OF BESEMER,MIDDAUGH ROAD SIXMILE CREEK,30 - County,1978,04/18/2017,N,5.48
pkins,Caroline (Town),.3 MILE S OF SPEEDSVILLE,OLD SEVNTY SIX RD BOYER CREEK,30 - County,2009,06/29/2017,N,6.64
pkins,Caroline (Town),1.5 MI NW OF SPEEDSVILLE,OLD SEVNTY SIX RD TRIB BOYER CREEK,30 - County,1987,06/29/2017,N,5.00
pkins,Caroline (Town),IN SPEEDSVILLE,OLD SEVNTY SIX RD W BR OWEGO CREEK,30 - County,2001,08/01/2017,N,6.77
pkins,Caroline (Town),.5 MI S OF WEST SLATERVLE,VALLEY ROAD BOICE CREEK,30 - County,1966,05/10/2017,N,6.00
pkins,Danby (Town),5.6 MI NW TIOGA CL-SH 96B,96B 96B36021057 TRB BUTTERMILK CK,NYSDOT,1929,11/03/2016,SD,4.83
pkins,Danby (Town),3.3 mi NW Willseville,96B 3602 1010 Danby Creek,NYSDOT,1960,11/03/2015,N,5.21
pkins,Danby (Town),1.3 MI NORTH OF W DANBY,BROWN ROAD CAYUGA INLET,40 - Town,1943,10/25/2016,N,6.52
pkins,Danby (Town),1.8 MI S BUTTERMILK FALLS,COMFORT ROAD BUTTERMILK CREEK,30 - County,1998,06/06/2016,N,5.92
