"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Ulster County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
ter,Crawford (Town),JCT RT 52/SHAWANGUNK KILL,52  52 86021218 SHAWANGUNK KILL,NYSDOT,2000,08/24/2016,N,6.15
ter,Denning (Town),.6 MILE NORTH OF SUNDOWN,BALACE ROAD RONDOUT CREEK,40 - Town,2006,10/12/2016,FO,6.72
ter,Denning (Town),.5 MILE SW OF SUNDOWN,COUNTY ROAD 46 DEAN BROOK,30 - County,2001,09/22/2015,N,4.93
ter,Denning (Town),0.5 MI NE OF FROST VALLEY,COUNTY ROAD 47 BISCUIT CREEK,30 - County,1972,07/06/2016,N,5.52
ter,Denning (Town),2.3MI NW OF CLARYVILLE,COUNTY ROAD 47 FALL BROOK,30 - County,1993,12/15/2015,N,4.82
ter,Denning (Town),1 MILE SW OF FROST VALLEY,COUNTY ROAD 47 HIGH FALLS BROOK,30 - County,2006,10/14/2016,N,6.69
ter,Denning (Town),AT SUNDOWN,CR 46 RONDOUT CREEK,30 - County,1946,06/07/2016,SD,3.47
ter,Denning (Town),In Denning,DENNING  ROAD Flat Brook,30 - County,1970,08/29/2016,FO,5.00
ter,Denning (Town),1.8 MILES NE OF CLARYVILL,DENNING ROAD E BR NEVERSINK RIVER,30 - County,1965,09/22/2016,SD,3.64
ter,Denning (Town),6.6 MILES NE OF CLAYVILLE,DENNING ROAD E BR NEVERSINK RIVER,30 - County,1929,09/06/2016,SD,3.51
ter,Denning (Town),2.6 MI NE OF CLARYVILLE,DENNING ROAD E BR NEVERSINK RV,30 - County,1970,12/06/2016,SD,4.23
ter,Denning (Town),1.5 MILES EAST OF SUNDOWN,GREENVILLE ROAD PIGEON HOLE BROOK,30 - County,1990,09/24/2015,N,5.15
ter,Denning (Town),4.5 MI NE OF CLARYVILLE,NEW HILL ROAD TRIB E BR NEVERSINK,30 - County,2001,09/06/2016,N,4.67
"",,,RIVER,,,,,
ter,Denning (Town),4.5 MI NE OF CLARYVILLE,NEW HILL ROAD EAST BRANCH NEVERSINK,30 - County,1973,12/15/2015,N,5.17
"",,,RIVER,,,,,
ter,Denning (Town),.4 MILE NE OF BULL RUN,PEEKAMOOSE ROAD RONDOUT CREEK,30 - County,2006,12/08/2016,FO,5.84
ter,Denning (Town),0.6 MI NE OF BULL RUN,PEEKAMOOSE ROAD BEAR HOLE BROOK,30 - County,1947,12/06/2016,N,5.28
