"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Washington County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
shington,Argyle (Town),1.9 MI WEST OF S ARGYLE,HARPER ROAD MOSES KILL,30 - County,1942,05/23/2017,N,6.10
shington,Argyle (Town),1.5 MI NE OF ARGYLE,KINNEY ROAD MOSES KILL,30 - County,1942,05/04/2016,N,6.06
shington,Argyle (Town),3.5 MI S JCT SH40 & SH197,MOORE ROAD MOSES KILL,30 - County,1929,06/15/2017,N,3.78
shington,Argyle (Town),VILLAGE OF ARGYLE,WEST ROAD MOSES KILL,30 - County,1958,05/11/2017,N,5.54
shington,Argyle (Town),1.8 MI S JCT RTS 197 + 40,WEST VALLEY ROAD MOSES KILL,30 - County,1938,07/26/2017,N,5.70
shington,Argyle (Village),0.2 MI N JCT RTES 40& 197,197  197 18021063 MOSES KILL,NYSDOT,1870,04/12/2017,N,7.00
shington,Cambridge (Town),.7 MILE WEST OF BUSKIRK,CAMBRIDGE ROAD HALL BROOK,30 - County,1984,04/28/2017,N,7.00
shington,Cambridge (Town),3.5 MI SW OF CAMBRIDGE,COUNTY ROAD 59 HALL BROOK,30 - County,1930,05/07/2015,SD,5.41
shington,Cambridge (Town),5.0MI S OF GREENWICH,CR 59A WAMPECACK CREEK,30 - County,1931,05/11/2016,SD,4.14
shington,Cambridge (Town),8 MI S OF CAMBRIDGE,"CR 74, RAIL ROAD WAMPECACK CREEK",30 - County,1934,06/13/2017,N,4.61
shington,Cambridge (Town),2 MI SOUTH OF CAMBRIDGE,KING ROAD WHIPPLE BROOK,30 - County,1930,05/10/2017,SD,5.48
shington,Cambridge (Town),5 MI SW OF CAMBRIDGE,LEES CROSSING RD WHITESIDE CREEK,40 - Town,1992,08/02/2016,N,5.00
shington,Cambridge (Village),0.6 MI N JCT RTE 22&372,22  22 18081066 OWL KILL,NYSDOT,1979,05/31/2016,N,5.00
shington,Dresden (Town),3.5MI WNW OF WHITEHALL,PIKE BROOK ROAD PIKE BROOK,30 - County,1947,04/05/2016,N,6.22
shington,Dresden (Town),2.7 MI NNW JCT US4 & SH22,SOUTH BAY ROAD PIKE BROOK,30 - County,1936,04/05/2016,N,6.28
shington,Easton (Town),.2 MI N JCT SH 29 & SH 40,2929 18041027 BATTENKILL RAILROAD,NYSDOT,2003,03/30/2017,N,6.67
shington,Easton (Town),RTE 29<40 OVER BATTEN KIL,29  29 18041028 BATTEN KILL,NYSDOT,1978,06/14/2017,N,4.00
shington,Easton (Town),2 MI S OF GREENWICH,COL.BAUME ROAD FLY CREEK,40 - Town,1976,06/29/2016,N,5.00
