"",,,"NY State Highway Bridge Data:  October 31, 2017",,,,,
"",,,Wyoming County,,,,,
"",,,,,Year,Date,,NYS
"",,,,,Built or,of Last,SD/FO,Condition
nty,Municipality,Location,Feature Carried Feature Crossed,Owner,Replaced,Inspection,Status,Rating
oming,Arcade (Town),2 MI NE JCT SH 98 & SH 39,98  98 46021036 MONKEY RUN,NYSDOT,2001,08/25/2016,N,6.23
oming,Arcade (Town),5.0 MI NE OF ARCADE,DUNN ROAD TRIB MONKEY RUN,30 - County,1944,08/31/2017,SD,3.62
oming,Arcade (Town),2 MILES NE OF ARCADE,EAST ARCADE ROAD CATTARAUGUS CREEK,30 - County,1981,08/09/2016,SD,4.76
oming,Arcade (Town),0.3 MI W ARCADE CENTER,GENESEE ROAD CATTARAUGUS CREEK,30 - County,1987,06/07/2016,N,7.00
oming,Arcade (Town),0.1 MILE N EAST ARCADE,JAVA LAKE RD CATTARAUGUS CREEK,30 - County,1965,09/21/2016,N,5.29
oming,Arcade (Village),1.6MI W JCT RTS 39 + 98,39  39 46011005 STATION DRIVE,NYSDOT,1976,09/13/2016,N,4.74
oming,Arcade (Village),0.1M W OF JCT RTS 39 & 98,98  39 46051021 CLEAR CREEK,NYSDOT,1990,08/01/2016,N,6.28
oming,Arcade (Village),0.1MI NE JCT RTS 98 + 39,98  98 46021015 CATTARAUGUS CREEK,NYSDOT,1932,08/18/2016,N,5.15
oming,Arcade (Village),AT VILLAGE OF ARCADE,CHURCH STREET CATTARAUGUS CREEK,30 - County,1985,06/07/2016,N,6.52
oming,Arcade (Village),.2 MI WEST OF ARCADE,HURDVILLE ROAD CATTARAUGUS CREEK,30 - County,2005,04/25/2016,N,6.75
oming,Arcade (Village),AT VILLAGE ARCADE,WEST STREET CATTARAUGUS CREEK,30 - County,2012,11/18/2016,N,6.28
oming,Attica (Town),2.5MI S JCT RTS 98 & 354,98  98 46021263 TONAWANDA CREEK,NYSDOT,1993,10/22/2015,N,6.42
oming,Attica (Town),3.1MI SE JCT RTS 238 + 98,238 238 46011076 STEVENS BROOK,NYSDOT,1932,05/27/2015,N,5.14
oming,Attica (Town),3.2 MILES SW OF ATTICA,COTTON HILL ROAD TONAWANDA CREEK,30 - County,1937,09/07/2017,FO,5.45
oming,Attica (Town),1 MI S VILLAGE OF ATTICA,DUNBAR ROAD TONAWANDA CREEK,30 - County,2000,09/22/2016,N,6.59
oming,Attica (Town),1.5 MI S ATTICA,EXCHANGE STREET CROW CREEK,30 - County,1975,07/07/2016,N,6.74
oming,Attica (Village),0.9MI E JCT RTS 238 + 98,238 238 46011099 STEVENS BROOK,NYSDOT,2010,11/12/2015,N,6.57
oming,Attica (Village),0.1MI E JCT RTS 238 + 98,238 238 46011108 TONAWANDA CREEK,NYSDOT,1948,12/08/2016,N,5.37
oming,Attica (Village),N BORDER VILLAGE ATTICA,PROSPECT STREET TONAWANDA CREEK,30 - County,1998,03/23/2017,N,6.56
oming,Bennington (Town),1.5MI N JCT RTS 77 + 20A,77  77 46011095 CAYUGA CREEK,NYSDOT,1953,11/23/2015,N,5.12
oming,Bennington (Town),0.1MI S JCT RTS 77 + 354,77  77 46011127 RIGHT BRANCH,NYSDOT,1953,08/14/2015,N,5.37
oming,Bennington (Town),3.1MI W JCT RTS 354 + 77,354 354 46021016 RED BROOK,NYSDOT,1958,11/23/2015,N,5.83
oming,Bennington (Town),JCT RTS 77 + 354,354 354 46021052 77  77 46011133,NYSDOT,1952,10/21/2016,SD,3.85
